,Description,forum
0,The paper first talks about the current state of learning machine learning and the challenges software engineers face when learning machine learning,jm5E97TTMEb
1,"The authors suggest hyperparameter tuning,  data splitting, and gradient signals are the main topics to learn.",jm5E97TTMEb
2,"Authors designed specific exercises to help students learn hyperparameter tuning, data splitting, and gradient signals.",jm5E97TTMEb
3,"Specific exercises can be used not just for software engineers, but for anyone with an engineering or quantitative background.",jm5E97TTMEb
4,Explanations of the exercises and what they provide to students are clear.,jm5E97TTMEb
5,"The entire paper is based on the observation ""We noted that especially computer science and software engineering students tended to struggle with the adoption of an empirical mindset rather than a constructive one."" While it sounds reasonable, there are no additional examples or details explaining how software engineers struggle or why.",jm5E97TTMEb
6,"It's not clear how the authors chose hyperparameter tuning,  data splitting, and gradient signals as the main topics",jm5E97TTMEb
7,Why are these more important than learning about model architectures and their applications?,jm5E97TTMEb
8,There's no quantitative difference provided showing the effectiveness of the results provided,jm5E97TTMEb
9,I would have liked to see pre-test and post-test scores of students based on this teaching method,jm5E97TTMEb
10,It would have been even nicer if there was a way to compare it to existing teaching methods.,jm5E97TTMEb
11,The authors of this submission identified three major attention points of ML teaching when introducing the topic to software engineering students,jm5E97TTMEb
12,proper data splitting and knowledge of gradient computations and workings of backpropagation.,jm5E97TTMEb
13,"Those principles are taught with the help of self created jupyter notebooks, providing an interactive widget for a simple linear regression problem for visualizing the effect of different learning rates, the proper use of data splitting for hyperparameter tuning and an example implementation of automatic differentiation.",jm5E97TTMEb
14,"What I really liked about the paper is that the authors reported first hand experiences of their students using this approach, including what went wrong in many cases",jm5E97TTMEb
15,"Unsurprisingly, this seemed to have been the part about proper data splitting",jm5E97TTMEb
16,This identifies areas which probably need to be addressed better in future design of teaching materials.,jm5E97TTMEb
17,"Also, the authors invested great efforts in the very readable design of small toy classes showing how backpropagation via autodiff can be implemented",jm5E97TTMEb
18,"I assume this will be of great value for understanding the working principles of large frameworks like pytorch or tensorflow, especially for software engineering students.",jm5E97TTMEb
19,"On the other hand, I think that such a code-heavy approach might not be directly transferable to different audiences which might be less familiar with programming or software design.",jm5E97TTMEb
20,"Moreover, even though I agree that using jupyter notebooks has become a frequently used and pretty much standard way for teaching and demonstration within the data science community, I doubt that the authors used it as their only means of teaching in ML classes and they could have elaborated a bit on how they encapsulate their notebooks into their regular teaching",jm5E97TTMEb
21,But maybe that had to be left out due to paper space restrictions.,jm5E97TTMEb
22,This work focuses on teaching Machine Learning (ML) to Software Engineers (SE),jm5E97TTMEb
23,There is a need for change of thought process between SE and ML due to constructive and empirical mindset,jm5E97TTMEb
24,"Authors specifically focused on three aspects of ML, namely, 1",jm5E97TTMEb
25,"To address these challenges, authors created materials which explains the underlying concepts and how they differ from SE",jm5E97TTMEb
26,Authors report various findings on the effectiveness of the materials and teaching methodology on the group of students.,jm5E97TTMEb
27,* Materials are self-explanatory and useful for all students over and beyond SE students,jm5E97TTMEb
28,* Motivation on each material is well thought out and described very succinctly,jm5E97TTMEb
29,"* I found the description on the 3rd material is a bit lacking on the self-explanation part compared to the other two materials, although the code is written well with sufficient comments in all",jm5E97TTMEb
30,* A little more detail on the “normal equation” might be helpful for comparison to students who are not aware of it,jm5E97TTMEb
31,* Small suggestion: Resolution of Fig,jm5E97TTMEb
32,Generating the figures in either “pdf” or “eps” format might retain the figure quality,jm5E97TTMEb
33,This paper presents a web application for learning decision trees (referred to as DTs throughout the paper) as well as their nuances,aLdr-6rFn5j
34,The authors do an excellent job situating why learning decision trees is important,aLdr-6rFn5j
35,"The web application is well explained from the students perspective, but I would have liked a few more details on the instructor's perspective. ",aLdr-6rFn5j
36,There are a few elements of the paper that feel a bit disjointed,aLdr-6rFn5j
37,"For example, the paper spends considerable space on the ""tennis data set"" but yet the default data set for the web application concerns monsters",aLdr-6rFn5j
38,"Similar if the intended audience has a background in computer science, how does this tool use and/or enhance one's computer science training? ",aLdr-6rFn5j
39,"Additionally, I would have liked to see a connection to how this tool fits into a machine learning course",aLdr-6rFn5j
40,"For example, is this a student's first or second contact with the material? Do students use this tool to inform pseudocode drafts? ",aLdr-6rFn5j
41,* Well designed tool for learning and understanding the nuances of decision trees,aLdr-6rFn5j
42,* Thoughtful presentation of the web application and strong motivation for learning about decision trees,aLdr-6rFn5j
43,* Some issues with the structure of the current draft ,aLdr-6rFn5j
44,* Missing explicit placement into a machine learning course,aLdr-6rFn5j
45,I can see the potential of the tool introduced here to teach and explain the very basics of decision trees (and how to evaluate classifiers).,aLdr-6rFn5j
46,"I'm not sure it is entirely finished -- the ""Hint"" functionality did not do anything, as far as I could make out, and best practice for UI design for this kind of interactive tutorial would be to have documentation in the form of tooltips right inside the app.",aLdr-6rFn5j
47,I think the decision to use a non-binary decision tree algorithm like ID3 is suboptimal from a didactic point of view,aLdr-6rFn5j
48,How to find optimal *binary* splits is much easier to explain/understand and the resulting tree structures are easier to follow as well,aLdr-6rFn5j
49,"This tool only aids in the visual explanation of very simple decision tree topics, which, in my teaching experience, only rarely cause confusion or issues in the classroom, namely the basic ""greedy"" recursive split search and how to use the tree to classify new data",aLdr-6rFn5j
50,"This seems like a wasted opportunity and limits the utility of the proposed tool-- more challenging and practically very important topics that learners often struggle with in my experience, like, e.g., pruning trees to avoid overfitting, how surrogate splits work, the instability of tree structure to small data perturbations,  etc, are not covered by the functionality of the tool.",aLdr-6rFn5j
51,"This tool is not based on any of the popular ML frameworks in R or Python, which seems another wasted teachingg opportunity",aLdr-6rFn5j
52,"If it were, this would allow students to also see the code generating the respective model and thereby learn to relate theoretical concepts to the corresponding implementation features.",aLdr-6rFn5j
53,"The authors explain their motivations, demonstrate a societal need for a solution, and also showcase previous methods used like class of clans.",a37DEwWs1wu
54,The paper's idea of using candy as a hands-on machine learning teaching method is novel,a37DEwWs1wu
55,"Overall, the paper communicates a variety of the author's unique perspectives",a37DEwWs1wu
56,"For example, the authors believe the original Iris dataset was created with benchmarking in mind, not learning",a37DEwWs1wu
57,The episodes and intended learning outcomes section is also well organized into specific topics,a37DEwWs1wu
58,The topics themselves are also good introductory topics for teaching machine learning.,a37DEwWs1wu
59,"While paper starts strong, the conclusion is weak",a37DEwWs1wu
60,"Before the conclusion, the author explains the motivations and ideas to teach machine learning using candy",a37DEwWs1wu
61,The conclusion simply states there's an ethics component included,a37DEwWs1wu
62,"While that's important to include, I would have preferred to see the outcomes of using such a teaching method",a37DEwWs1wu
63,"Without that, this paper feels incomplete.",a37DEwWs1wu
64,"The authors present a self designed introductory teaching lesson of about 3 to 4 hours to convey the principles and workings of some of the fundamental aspects of ML: feature engineering,",a37DEwWs1wu
65,KNN and logistic regression as classification methods and performance evaluation in a playful manner using chocolate and candy as a practical toy dataset and additional motivator.,a37DEwWs1wu
66,"Their approach follows the guidelines of the Carpentries and aims to develop intuition for ML, bridging the gap between the two most dominant ML teaching styles which either are primarily focussed on",a37DEwWs1wu
67,"theory and might provide a daunting entry barrier on the one hand, or aim at quick implementation and application of ML algorithms without detailed knowledge of the inner workings on the other hand.",a37DEwWs1wu
68,I like the hands-on approach suggested here which teaches basic principles by a very plausible example,a37DEwWs1wu
69,"Also, the authors put strong focus early on to discuss ethical issues of machine learning and encourage lesson participants to think critically about adoption of ML approaches for given problems which is a strong plus in my opinion and often not emphasized enough in existing tutorials.",a37DEwWs1wu
70,I would be very curious to learn how lesson participants respond to this approach,a37DEwWs1wu
71,"Unfortunately, the authors only present their teaching procedure without giving details on how well their approach worked in practice (however that could be measured...), how participants",a37DEwWs1wu
72,"reacted, what they had problems with, etc",a37DEwWs1wu
73,Also I am missing a clear definition of the target audience that course was designed for,a37DEwWs1wu
74,"As an additional (but less important) point: as much as I enjoy candy myself and understand the authors picked it for their motivational value, maybe replacing it with a more healthy alternative would be something to think about.",a37DEwWs1wu
75,The authors provide their teaching materials as a github repository which is great and allows direct adoption,a37DEwWs1wu
76,"Unfortunately, author identification became possible through that and the review can no longer be considered completely ""blind"".",a37DEwWs1wu
77,"Nevertheless, I suggest accepting the submission since the approach is innovative and will probably invoke interesting discussions among participants.",a37DEwWs1wu
78,This work addresses the middle ground between math-heavy foundational and application-focused black-box Machine Learning (ML) teaching styles,a37DEwWs1wu
79,Authors proposed a fun active learning strategy to understand ML concepts and ethical decision processes using candies,a37DEwWs1wu
80,The proposed 10 episode strategy along with their expected learning outcomes are publicly available,a37DEwWs1wu
81,Authors found their strategy to be useful for not only for undergraduates but individuals from all ages.,a37DEwWs1wu
82,"* Very well-motivated paper, there is clearly a need for this kind of teaching style to democratize ML",a37DEwWs1wu
83,* Proposed strategies along with the learning outcomes are thoughtful and effective,a37DEwWs1wu
84,* Prerecorded data is made available with support for the virtual format,a37DEwWs1wu
85,* Authors mentioned the strategy was effective across all ages,a37DEwWs1wu
86,I wonder the effectiveness of teaching with candies for varying age groups,a37DEwWs1wu
87,Young children might be too tempted by the candies than actually learning,a37DEwWs1wu
88,"On the other hand, Older people might get disinterested because they might feel candies are too distracting",a37DEwWs1wu
89,Any exploration on the effectiveness of learning across ages will be valuable.,a37DEwWs1wu
90,"* Proper use of this teaching style will definitely be effective to instil critical thinking and improve the public perception towards ML as not a black box, I commend the authors on that.",a37DEwWs1wu
91,* I would love to see how a few of the episodes are actually described in more detail within the paper but I understand there’s so much information that can be crammed into 4 pages.,a37DEwWs1wu
92,This paper reports experiences with teaching machine learning topics to library staff,CF_7wpDpCmp
93,The authors describe very well the motivation to apply machine learning technology to the collected knowledge of the libraries,CF_7wpDpCmp
94,The idea to spark interest in non-technical staff by teaching them programming and machine learning topics is appealing,CF_7wpDpCmp
95,"However, the question remains if this approach is beneficial in the long term as there is a steep learning curve for beginners to develop correct and working AI projects",CF_7wpDpCmp
96,"The four main takeaways as they are described in the paper, all seem relevant and reasonable",CF_7wpDpCmp
97,These aspects are useful for AI experts teaching this topic and could improve the experience for all kinds of learners,CF_7wpDpCmp
98,The collected qualitative feedback is interesting and helpful to improve the content of the training,CF_7wpDpCmp
99,Yet quantitative data would also be interesting to answer questions,CF_7wpDpCmp
100,"For example, if the training attendees could apply the new knowledge in their daily work",CF_7wpDpCmp
101,"As a person that also teaches ML, I would have liked to read more about the structure and the content of the workshops",CF_7wpDpCmp
102,The described ideas are interesting but very general.,CF_7wpDpCmp
103,"Typo Line 185, Row 2 ""a conversation group conversation""",CF_7wpDpCmp
104,The paper summaries the authors' findings on introducing staff of academic libraries to AI,CF_7wpDpCmp
105,"This problem is, in many ways, domain specific as many obvious applications of AI can be identified in advance (as opposed to designing a curriculum for CS students which cannot make such assumptions)",CF_7wpDpCmp
106,"Having said that, knowledge discovery strikes at the very heart of what AI should be used to do and I felt the paper presented some very interesting ideas.",CF_7wpDpCmp
107,The authors present findings from two training experiences aimed at beginners in two different venues.,CF_7wpDpCmp
108,The collaborative experience in the conference workshop setting is an interesting idea and one that deserves follow-up,CF_7wpDpCmp
109,"The audience, despite the challenges with catering to a diverse set of people, seems to have responded positively to the training offered",CF_7wpDpCmp
110,This seems to be evidenced by an overwhelming positive response,CF_7wpDpCmp
111,"However, the number of participants (and their backgrounds) would help place this better in context.",CF_7wpDpCmp
112,The experience with the local AI groups likewise seems to have built positively on top of a general introduction to AI,CF_7wpDpCmp
113,"This, in itself, is hardly surprising; it would be more interesting to see the medium- and long-term effects of these trainings",CF_7wpDpCmp
114,"For instance, interviews with course participants some months down the line to see if they were able to incorporate some of the introduced topics into their daily workflows or whether they were able to follow through on the collaborative projects mentioned by them",CF_7wpDpCmp
115,I would also encourage the authors to consider metrics that can be used to quantify the results of their experiments in a data-driven way that goes beyond qualitative results.,CF_7wpDpCmp
116,The paper discusses how to teach AI in the context of libraries,CF_7wpDpCmp
117,It discusses two trainings that were implemented and evaluate what learners thought about the courses and what the take aways are from the learner's feedback.,CF_7wpDpCmp
118,"I found the paper very inspiring and fitting for this workshop as it not only describes who the authors teach AI and ML, but also reflects on practices and how it can be done better such that the learners get the most out of the learning experience",CF_7wpDpCmp
