,Description,forum
0,"The paper presents TriScale, a methodology for analyzing the replicability of experiments",c1LNi8CTPy6
1,"The paper achieves this by partitioning the data into multiple timescales---runs, series, and sequels---and analyzing temporal characteristics of variability at these timescales",c1LNi8CTPy6
2,"TriScale relies on “variability score,” an estimate of how similar the results are during a replication effort, to quantify the replicability",c1LNi8CTPy6
3,Four case studies of various network applications using TriScale is also presented.,c1LNi8CTPy6
4,+ TriScale tackles an important problem related to replicability of experiments in research,c1LNi8CTPy6
5,+ The systematic methodology presented in TriScale can improve the community’s confidence about research results presented in a paper and its replication efforts,c1LNi8CTPy6
6,+ The paper is well-written and easy-to-follow  ,c1LNi8CTPy6
7,- A more detailed discussion on metrics/settings that cannot be evaluated using TriScale will be helpful ,c1LNi8CTPy6
8,Thanks for submitting your paper to JSYS 2021.,c1LNi8CTPy6
9,TriScale takes an important step towards improving reproducibility efforts in the community,c1LNi8CTPy6
10,"It can help researchers determine the number of runs, duration of runs, etc",c1LNi8CTPy6
11,required to ascertain the confidence in conclusions derived from an experiment,c1LNi8CTPy6
12,The paper is well-written and easy to follow.,c1LNi8CTPy6
13,There are a few aspects that can be improved in the paper,c1LNi8CTPy6
14,* It is understandable that TriScale cannot determine the parameters that should be used for experiments,c1LNi8CTPy6
15,"However, it will be useful to identify the categories of metrics that cannot be used with TriScale",c1LNi8CTPy6
16,"For example, the paper mentions that the convergence test does not hold while measuring energy consumption since it is cumulative over time, and hence, one should measure power draw instead",c1LNi8CTPy6
17,Cumulative metrics cannot be tested for convergence,c1LNi8CTPy6
18,"Are there other categories of metrics that do not fit under TriScale framework? It will be useful to identify them explicitly (also, highlight in the discussion section that cumulative metrics cannot be measured)",c1LNi8CTPy6
19,"* Can TriScale be used with metrics that need a distributed view? For example, maximum queue length encountered by a packet on its path within a data center.",c1LNi8CTPy6
20,"* TriScale employs specific techniques for each step (Theil-Sen linear regression for convergence test, Thompson’s method for confidence interval estimations, etc.)",c1LNi8CTPy6
21,"Are there alternatives? If so, is it easy to plug in another user-preferred function in place of the TriScale default functions?",c1LNi8CTPy6
22,* Network profiling for identifying seasonal components is interesting,c1LNi8CTPy6
23,But what if the seasonal components in the replication environment do not match with the seasonal components in the original environment,c1LNi8CTPy6
24,"For example, the original experiment is cellular analysis performed in a business district and the replication effort is in a residential area",c1LNi8CTPy6
25,Can network profiling be used to raise an alarm that the replication environment does not match the original environment and that is the cause for a bad variability score? ,c1LNi8CTPy6
26,"* A category of experiments in networking involves testing convergence of protocols when users arrive/leave, links fail, etc",c1LNi8CTPy6
27,The time taken by congestion control (for example) to converge under these conditions is an important performance criterion,c1LNi8CTPy6
28,How will TriScale handle such metrics? ,c1LNi8CTPy6
29,"Overall, TriScale is a useful effort that can improve reproducibility efforts in the community",c1LNi8CTPy6
30,"However, it will be useful to clearly describe the shortcomings of the system, particularly metrics that cannot be handled",c1LNi8CTPy6
31,Thank you for submitting your work to JSys,c1LNi8CTPy6
32,The paper tackles an important and often overlooked problem of replicability in networking research,c1LNi8CTPy6
33,"The effort is commendable, thorough, and can be used by other researchers as a template to effectively design experiments and report their results.",c1LNi8CTPy6
34,+ Significance: the paper addresses an important problem,c1LNi8CTPy6
35,+ Clarity: the proposed methodology is intuitive and easy to follow,c1LNi8CTPy6
36,+ Generalizability: It is unclear where exactly the proposed methodology will fail and why? Section 6 is not really helpful in understanding these limitations,c1LNi8CTPy6
37,"This paper addresses a critical problem in networking research, replicability",c1LNi8CTPy6
38,We all know many research artifacts published at top-tier conferences are hard to replicate,c1LNi8CTPy6
39,Designing experiments that report the performance of the proposed research artifacts with quantifiable confidence amidst inherent variability is non-trivial,c1LNi8CTPy6
40,Researchers often opt for simpler rules-of-thumb that were applied by previous works,c1LNi8CTPy6
41,"These rules don't generalize, and applying them leads to hard-to-replicate experiments/results",c1LNi8CTPy6
42,"More specifically, the lack of concrete methodology to determine the run/series duration and the number of sequences make it difficult to quantify the true performance of the proposed research artifacts",c1LNi8CTPy6
43,"The methodology proposed in this paper will aid the researchers in evaluating existing and future research artifacts, promoting replicability",c1LNi8CTPy6
44,"In Section 6, it will help if the paper can expand on instances where the proposed methodology is not suited to evaluate the replicability of the proposed solution",c1LNi8CTPy6
45,I struggled to grasp the generality of the proposed methodology,c1LNi8CTPy6
46,Though I am glad to see the paper applying the proposed methodology to five different problems,c1LNi8CTPy6
47,It will be great to elaborate on what attributes of these problems enable applying the proposed methodology,c1LNi8CTPy6
48,"Further, elaborate, with examples, on which type of problems (artifacts) will not benefit from Triscale. ",c1LNi8CTPy6
49,This paper proposes a methodology for the experiment design and data analysis of performance evaluations,c1LNi8CTPy6
50,"In addition to test runs and series of runs that have been widely adopted, the authors introduce another time scale -- repetitions of series -- to capture the replicability of an experiment, via the definition of a quantifiable score (""variability score"") with user-specified confidence level.",c1LNi8CTPy6
51,"Furthermore, the paper instantiates the methodology as a software framework called TriScale and showcases the framework's usefulness with case studies.",c1LNi8CTPy6
52,- First-of-its-kind paper to quantify the replicability of performance evaluations,c1LNi8CTPy6
53,- Developed a readily usable framework to implement the concrete methodology,c1LNi8CTPy6
54,- TriScale's methodology has its own practicality issues (explained in the comments),c1LNi8CTPy6
55,Thank you for submitting your work to JSys,c1LNi8CTPy6
56,I really enjoyed reading the paper,c1LNi8CTPy6
57,Its excellent writing clearly outlines the methodology as well as the statistical methods,c1LNi8CTPy6
58,I also appreciate the development effort of the tool TriScale.,c1LNi8CTPy6
59,"TriScale is most useful in guiding networking researchers to design scientifically sound experiments, such as how long each run should be based on the convergence test, how many runs / series of runs to perform before meeting a specific confidence level, and the time span of a series of runs hinted by the network profiling",c1LNi8CTPy6
60,"Therefore, TriScale could potentially help avoid design mistakes and also significantly foster reproducible studies.",c1LNi8CTPy6
61,"1a is indeed prone to misinterpretation, as the paper also incorrectly interprets one-sigma ellipses as ""one can expect about 68% of the data points to fall in that region""",c1LNi8CTPy6
62,"The correct percentage is supposed to be 40% because each ellipse represents the confidence region of the sum of squares of two Gaussian-distributed variables, which follows a chi-squared distribution",c1LNi8CTPy6
63,"The projections of such an ellipse on either dimension are indeed 68% confidence intervals, but the two-dimensional confidence region is about 40%.",c1LNi8CTPy6
64,"- The KPI of common interest is often multi-dimensional, e.g., people want to know both the lower and upper bounds of a performance metric, or both the average performance and performance variation (robustness)",c1LNi8CTPy6
65,It is unclear how useful the one-dimensional KPI of TriScale would be in practice,c1LNi8CTPy6
66,"If TriScale extends the current KPI, e.g., if Fig",c1LNi8CTPy6
67,"1(b) reports two-sided CIs instead, then it will have the same issue as Fig",c1LNi8CTPy6
68,"1(a) when two schemes' CIs are overlapping, losing the claimed advantage ""unambiguously compare different schemes""",c1LNi8CTPy6
69,The issue is not easily fixable also because the variability score cannot seem to accommodate multi-dimensional KPIs,c1LNi8CTPy6
70,What would the score be if the KPI is a two-sided CI? This seems different from a multi-objective evaluation and has not been discussed in the paper.,c1LNi8CTPy6
71,"- In the same vein, TriScale does not capture the correlation of metrics",c1LNi8CTPy6
72,"1 as an example again: The one-sigma ellipses in (a) suggest the correlation between throughput and latency (which are usually positively correlated), but the information is lost in (b)",c1LNi8CTPy6
73,"Again, Pareto-dominance does not address the correlation of metrics.",c1LNi8CTPy6
74,"- TriScale can check whether a runtime passes the convergence test, but it does not really give a practical way for researchers to choose the runtime during the experiment design",c1LNi8CTPy6
75,"For instance, the ramp-up time of LEDBAT's throughput would also depend on the bandwidth -- Does it mean that for each network profile, researchers have to increase the runtime repeatedly until the convergence test is passed?",c1LNi8CTPy6
76,"- Despite TriScale's usefulness, the definition of ""variability score"" essentially repeats what researchers have been applying to a series of runs, treating each experiment as a run",c1LNi8CTPy6
77,The quantifiable replicability is not novel in this sense (maybe it does not need to be novel?).,c1LNi8CTPy6
78,* Generally well-written and relatively easy to follow,c1LNi8CTPy6
79,"* Useful, could potentially benefit all scientific researchers",c1LNi8CTPy6
80,* Methodology is grounded from strong theoretical analysis,c1LNi8CTPy6
81,* Methodology is a bit high-level and lacks more detailed solutions,c1LNi8CTPy6
82,* More like a general experimental design tool instead of in the networking domain,c1LNi8CTPy6
83,Thank you for submitting TriScale to JSys,c1LNi8CTPy6
