,id,Description,forum_id
0,0,**Reproducibility summary:** The report does not have the mandatory reproducibility summary.,4hm5ufX69jo
1,1,"**Scope of reproducibility:** In Section 3, the authors state that the aim of the section is ""to examine whether self-attention layers in practice do actually learn to operate like convolutional layers when trained on standard image classification tasks.""",4hm5ufX69jo
2,2,**Code:** It's unclear whether the authors used the original authors' code (which is publicly available) or not,4hm5ufX69jo
3,3,"The authors say they ""closely follow the official implementation for reproducing the three embedding schemes and attention mechanisms"" (line 98) but do not discuss how their implementation is similar to or different from the official implementation",4hm5ufX69jo
4,4,"The authors' codebase is clean and organized, but lacks documentation.",4hm5ufX69jo
5,5,**Communication with the original authors**: The authors did not discuss whether they communicated with the original authors,4hm5ufX69jo
6,6,**Hyperparameter search:** The authors did not conduct a hyperparameter search.,4hm5ufX69jo
7,7,**Ablation study**: The authors did not conduct any ablation studies.,4hm5ufX69jo
8,8,**Discussion on results:** The authors reproduced the original paper's CIFAR-10 experiments and reported similar findings,4hm5ufX69jo
9,9,The authors' discussion of their results is on the shorter side (2 paragraphs in Section 3.3),4hm5ufX69jo
10,10,**Recommendations for reproducibility:** The authors did not provide recommendations for reproducibility.,4hm5ufX69jo
11,11,**Results beyond the paper**: This report contains several results beyond the original paper,4hm5ufX69jo
12,12,"In Section 4, the authors discuss two recent works that attempt to replace convolutions with self-attention",4hm5ufX69jo
13,13,"While I found the introduced works interesting, the section lacks discussion of how these works relates to the original paper",4hm5ufX69jo
14,14,"In Section 5, the authors propose a new attention operation named Hierarchical Attention (HA) and demonstrate its effectiveness against normal Self-Attention (SA)",4hm5ufX69jo
15,15,"As the authors emphasize, this operation improves accuracy while using substantially less number of parameters.",4hm5ufX69jo
16,16,"**Overall organization and clarity:** Overall, the report was organized and clearly written",4hm5ufX69jo
17,17,"However, the authors did not include the mandatory reproducibility summary, and did not discuss their experience reproducing the paper (e.g",4hm5ufX69jo
18,18,"methodology, computational requirements, what was easy/difficult, communication with the original authors)",4hm5ufX69jo
19,19,"While the authors presented results beyond the scope of the original work, the report needs more work on the reproducibility front",4hm5ufX69jo
20,20,I also suggest keeping the citation style consistent and using appropriate labels and references to reference tables and figures.,4hm5ufX69jo
21,21,***Reproducibility Summary***,4hm5ufX69jo
22,22,"Unfortunately the authors have not included the mandatory first page reproducibility summary, and following the reviewer guidelines the submission is liable to desk rejection.",4hm5ufX69jo
23,23,***Scope of reproducibility***,4hm5ufX69jo
24,24,The paper does not state clearly the scope of the reproducibility,4hm5ufX69jo
25,25,"The authors reimplement the main experiment in the paper on Cifar, for which they obtain similar results",4hm5ufX69jo
26,26,"They also reproduce a similar experiment where they visualize the attention maps, however their attention maps differ significantly from those shown in the paper and there is no in-depth analysis of them.",4hm5ufX69jo
27,27,***Code***,4hm5ufX69jo
28,28,The authors have implemented their own code to reproduce the paper,4hm5ufX69jo
29,29,"Unfortunately, their code is attached but is not de-anonymized.",4hm5ufX69jo
30,30,***Communication with original authors***,4hm5ufX69jo
31,31,It is not clearly stated in the paper whether the authors of the reproducibility report contacted the original authors of the paper (or at least I couldn't find this information easily),4hm5ufX69jo
32,32,This information could have been readily available if the authors had included a reproducibility summary.,4hm5ufX69jo
33,33,***Hyperparameter search and ablation study***,4hm5ufX69jo
34,34,"The authors conducted limited hyperparameter searches and ablation studies, but the experiments in the original paper are limited in this regard too and therefore it does not seem highly relevant in the evaluation of this report.",4hm5ufX69jo
35,35,***Discussion on results***,4hm5ufX69jo
36,36,The authors do not discuss the results in depth,4hm5ufX69jo
37,37,Most of the conclusions are limited to re-stating the results obtained without properly discussing the differences between their results and the ones found in the original paper,4hm5ufX69jo
38,38,"This can be seen in the discussion for the filter results, for example.",4hm5ufX69jo
39,39,***Recommendations for reproducibility***,4hm5ufX69jo
40,40,The authors do not directly provide recommendations to improve the reproducibility of the original paper.,4hm5ufX69jo
41,41,**Results beyond the paper***,4hm5ufX69jo
42,42,The authors put the focus of this report on a new type of attention they propose,4hm5ufX69jo
43,43,"Unfortunately, this is at the expense of the quality of the rest of the report, and as part of the reproducibility challenge the paper is does not focus enough on reproducing the original paper.",4hm5ufX69jo
44,44,***Overall clarity***,4hm5ufX69jo
45,45,"The article could be better organized, providing first a reproducibility summary.",4hm5ufX69jo
46,46,***Overall rating***,4hm5ufX69jo
47,47,"I argue for the rejection of this article based on the omission of the mandatory reproducibility summary, the lack of clarity and the focus on the results beyond the paper but not on reproducing the results of the original paper.",4hm5ufX69jo
48,48,The authors do not provide reproducibility summary and the manuscript does not match the expected template,4hm5ufX69jo
49,49,There is no discussion about the scope of reproducibility nor any discussion over what was easy/hard,4hm5ufX69jo
50,50,Missing evaluations from the appendix section of the paper.,4hm5ufX69jo
51,51,"Overall, authors are able to replicate the experiments reported in the original paper",4hm5ufX69jo
52,52,They also show additional experiments with other choice of attention-based networks which is interesting,4hm5ufX69jo
53,53,Current analysis lacks visualizations for 'centers of attention' which is important,4hm5ufX69jo
54,54,Why is the #params in table 1 and 2 same ? Is the accuracy(paper) in table 2 correct comparison ?,4hm5ufX69jo
55,55,"It is commendable that along with reproducing results, the authors propose hierarchical attention operation and evaluate it's performance",4hm5ufX69jo
56,56,They show that it resolves the computational memory requirement as intended,4hm5ufX69jo
57,57,"However, keeping the scope of this venue in consideration the paper does not match the expected format and lacks detailed analysis.",4hm5ufX69jo
58,58,*Problem statement: ,PRXM8-O9PKd
59,59,"The paper clearly states the reproducing details, together with the detailed results and difficulties.",PRXM8-O9PKd
60,60,*Presentation:,PRXM8-O9PKd
61,61,The paper is well-organized and well-written,PRXM8-O9PKd
62,62,*Communication with original authors,PRXM8-O9PKd
63,63,The authors had some communication with the original authors.,PRXM8-O9PKd
64,64,*Code:,PRXM8-O9PKd
65,65,The code is well-organized and can be reproduced,PRXM8-O9PKd
66,66,I have tested the code on my side and all components work well,PRXM8-O9PKd
67,67,*Recommendations for reproducibility,PRXM8-O9PKd
68,68,The authors provided useful comments for reproducing the original paper,PRXM8-O9PKd
69,69,I have read the code and found those comments are consistent with the provided codes,PRXM8-O9PKd
70,70,*A few concerns,PRXM8-O9PKd
71,71,**The tense is not consistent in the whole paper,PRXM8-O9PKd
72,72,"In some sections, the author used past tense while the present tense is used in some other sections",PRXM8-O9PKd
73,73,"** It will be even better if the authors can provide a simple illustration on the two major algorithms, like Fig.3 and Fig.4 in the original paper",PRXM8-O9PKd
74,74,The figures and simple explanations would help readers to follow your report.,PRXM8-O9PKd
75,75,The authors developed code for the original paper from scratch and communicated with the original authors for detail,PRXM8-O9PKd
76,76,"They provide a in-depth, easily readable, well organized report and analysis",PRXM8-O9PKd
77,77,They include extensive HPO,PRXM8-O9PKd
78,78,They give valuable recommendations for future work,PRXM8-O9PKd
79,79,"Unfortunately, code will only be submitted only after the review process.",PRXM8-O9PKd
80,80,__Summary__,ysFCiXtCOj
81,81,"The original paper (OP) proposes a new activation function, snake",ysFCiXtCOj
82,82,"Snake is claimed to be usable with datasets both with and without cyclicity, on the contrary to previous activations",ysFCiXtCOj
83,83,"Experiments include low-dimension regression to illustrate the limitations of conventional activations, and applications of snake and baselines to timeseries to illustrate their ability (or not) to deal with cyclic data",ysFCiXtCOj
84,84,Snake is also evaluated on common benchmarks (CIFAR10) to show that it performs well compared to baselines even when the dataset is not cyclic.,ysFCiXtCOj
85,85,This reproducibility report (RR) reproduces all the experiments of the OP and confirms the OP's findings.,ysFCiXtCOj
86,86,"The RR also extends the study to two new settings (image generation and sentiment analysis), both non-cyclic, in which the performance of snake is studied.",ysFCiXtCOj
87,87,__Positive points__,ysFCiXtCOj
88,88,"- The OP's code was not publicly available and the authors recoded all of the experiments themselves, which needs to be commended.",ysFCiXtCOj
89,89,"- Similarly, the authors optimized hyperparameters to make the implementations work despite the fact that they were missing in the original paper.",ysFCiXtCOj
90,90,- The authors performed additional experiments with elaborate models,ysFCiXtCOj
91,91,"Both the feedforward and recurrent architectures that were used were not tested in the original paper, which demonstrates the applicability of the original idea to new settings and  adds value to the original idea from the OP.",ysFCiXtCOj
92,92,- I appreciated the exhaustive replication of the several experiments that this paper contained.,ysFCiXtCOj
93,93,"- The RR authors contacted of the OP authors to get additional information on the points of the paper that lacked clarity, and used this information to replicate the OP results.",ysFCiXtCOj
94,94,"- The format of the reproducibility report was respected, and the report is overall clear",ysFCiXtCOj
95,95,The authors clearly state that the results are reproducible,ysFCiXtCOj
96,96,The report is overall well written and concise.,ysFCiXtCOj
97,97,__Negative points__,ysFCiXtCOj
98,98,"- The general experiments are reproduced, but I find that a finer analysis is absent from the RR",ysFCiXtCOj
99,99,"The results are reproduced through a figure, but this figure is often not referred to",ysFCiXtCOj
100,100,A small conclusion about the reproducibility of the specific experiment is systematically absent,ysFCiXtCOj
