,Description,forum
0,"**Reproducibility summary:** The report does not have the mandatory reproducibility summary.

**Scope of reproducibility:** In Section 3, the authors state that the aim of the section is ""to examine whether self-attention layers in practice do actually learn to operate like convolutional layers when trained on standard image classification tasks.""

**Code:** It's unclear whether the authors used the original authors' code (which is publicly available) or not. The authors say they ""closely follow the official implementation for reproducing the three embedding schemes and attention mechanisms"" (line 98) but do not discuss how their implementation is similar to or different from the official implementation. The authors' codebase is clean and organized, but lacks documentation.

**Communication with the original authors**: The authors did not discuss whether they communicated with the original authors. 

**Hyperparameter search:** The authors did not conduct a hyperparameter search.

**Ablation study**: The authors did not conduct any ablation studies.

**Discussion on results:** The authors reproduced the original paper's CIFAR-10 experiments and reported similar findings. The authors' discussion of their results is on the shorter side (2 paragraphs in Section 3.3). 

**Recommendations for reproducibility:** The authors did not provide recommendations for reproducibility.

**Results beyond the paper**: This report contains several results beyond the original paper. In Section 4, the authors discuss two recent works that attempt to replace convolutions with self-attention. While I found the introduced works interesting, the section lacks discussion of how these works relates to the original paper. In Section 5, the authors propose a new attention operation named Hierarchical Attention (HA) and demonstrate its effectiveness against normal Self-Attention (SA). As the authors emphasize, this operation improves accuracy while using substantially less number of parameters.

**Overall organization and clarity:** Overall, the report was organized and clearly written. However, the authors did not include the mandatory reproducibility summary, and did not discuss their experience reproducing the paper (e.g. methodology, computational requirements, what was easy/difficult, communication with the original authors). While the authors presented results beyond the scope of the original work, the report needs more work on the reproducibility front. I also suggest keeping the citation style consistent and using appropriate labels and references to reference tables and figures.",4hm5ufX69jo
1,"***Reproducibility Summary***
Unfortunately the authors have not included the mandatory first page reproducibility summary, and following the reviewer guidelines the submission is liable to desk rejection.

***Scope of reproducibility***
The paper does not state clearly the scope of the reproducibility. The authors reimplement the main experiment in the paper on Cifar, for which they obtain similar results. They also reproduce a similar experiment where they visualize the attention maps, however their attention maps differ significantly from those shown in the paper and there is no in-depth analysis of them.

***Code***
The authors have implemented their own code to reproduce the paper. Unfortunately, their code is attached but is not de-anonymized.

***Communication with original authors***
It is not clearly stated in the paper whether the authors of the reproducibility report contacted the original authors of the paper (or at least I couldn't find this information easily). This information could have been readily available if the authors had included a reproducibility summary.

***Hyperparameter search and ablation study***
The authors conducted limited hyperparameter searches and ablation studies, but the experiments in the original paper are limited in this regard too and therefore it does not seem highly relevant in the evaluation of this report.

***Discussion on results***
The authors do not discuss the results in depth. Most of the conclusions are limited to re-stating the results obtained without properly discussing the differences between their results and the ones found in the original paper. This can be seen in the discussion for the filter results, for example.

***Recommendations for reproducibility***
The authors do not directly provide recommendations to improve the reproducibility of the original paper.

**Results beyond the paper***
The authors put the focus of this report on a new type of attention they propose. Unfortunately, this is at the expense of the quality of the rest of the report, and as part of the reproducibility challenge the paper is does not focus enough on reproducing the original paper.

***Overall clarity***
The article could be better organized, providing first a reproducibility summary.

***Overall rating***
I argue for the rejection of this article based on the omission of the mandatory reproducibility summary, the lack of clarity and the focus on the results beyond the paper but not on reproducing the results of the original paper.",4hm5ufX69jo
2,"The authors do not provide reproducibility summary and the manuscript does not match the expected template. There is no discussion about the scope of reproducibility nor any discussion over what was easy/hard. Missing evaluations from the appendix section of the paper.

Overall, authors are able to replicate the experiments reported in the original paper. They also show additional experiments with other choice of attention-based networks which is interesting. Current analysis lacks visualizations for 'centers of attention' which is important. Why is the #params in table 1 and 2 same ? Is the accuracy(paper) in table 2 correct comparison ?

It is commendable that along with reproducing results, the authors propose hierarchical attention operation and evaluate it's performance. They show that it resolves the computational memory requirement as intended. However, keeping the scope of this venue in consideration the paper does not match the expected format and lacks detailed analysis.",4hm5ufX69jo
3,"*Problem statement: 
The paper clearly states the reproducing details, together with the detailed results and difficulties.

*Presentation:
The paper is well-organized and well-written. 

*Communication with original authors
The authors had some communication with the original authors.

*Code:
The code is well-organized and can be reproduced. I have tested the code on my side and all components work well. 

*Recommendations for reproducibility
The authors provided useful comments for reproducing the original paper. I have read the code and found those comments are consistent with the provided codes. 

*A few concerns
**The tense is not consistent in the whole paper. In some sections, the author used past tense while the present tense is used in some other sections. 
** It will be even better if the authors can provide a simple illustration on the two major algorithms, like Fig.3 and Fig.4 in the original paper. The figures and simple explanations would help readers to follow your report.",PRXM8-O9PKd
4,"The authors developed code for the original paper from scratch and communicated with the original authors for detail. They provide a in-depth, easily readable, well organized report and analysis. They include extensive HPO. They give valuable recommendations for future work. 

Unfortunately, code will only be submitted only after the review process.",PRXM8-O9PKd
5,"__Summary__

The original paper (OP) proposes a new activation function, snake. Snake is claimed to be usable with datasets both with and without cyclicity, on the contrary to previous activations. Experiments include low-dimension regression to illustrate the limitations of conventional activations, and applications of snake and baselines to timeseries to illustrate their ability (or not) to deal with cyclic data. 
Snake is also evaluated on common benchmarks (CIFAR10) to show that it performs well compared to baselines even when the dataset is not cyclic.
This reproducibility report (RR) reproduces all the experiments of the OP and confirms the OP's findings.
The RR also extends the study to two new settings (image generation and sentiment analysis), both non-cyclic, in which the performance of snake is studied.

__Positive points__
- The OP's code was not publicly available and the authors recoded all of the experiments themselves, which needs to be commended.
- Similarly, the authors optimized hyperparameters to make the implementations work despite the fact that they were missing in the original paper.
- The authors performed additional experiments with elaborate models. Both the feedforward and recurrent architectures that were used were not tested in the original paper, which demonstrates the applicability of the original idea to new settings and  adds value to the original idea from the OP.
- I appreciated the exhaustive replication of the several experiments that this paper contained.
- The RR authors contacted of the OP authors to get additional information on the points of the paper that lacked clarity, and used this information to replicate the OP results.
- The format of the reproducibility report was respected, and the report is overall clear. The authors clearly state that the results are reproducible. The report is overall well written and concise.

__Negative points__
- The general experiments are reproduced, but I find that a finer analysis is absent from the RR. The results are reproduced through a figure, but this figure is often not referred to. A small conclusion about the reproducibility of the specific experiment is systematically absent. No quantified metric on the closeness to the original performance is given, or commented, even though the paper gave quantified results for the financial experiment (OP's Tab.2). For instance, when the performance is illustrated through a graph, I would have expected a comment on the closeness between the accuracy of the OP's model and the RR's model.
- I find that the report lacked precision. For instance: (1) I am not sure which optimizer was used for most of the experiments, or what initialization; Sec 4.1 is an example of this. (2) p.6, l.146: ""orders of magnitude"": how many? Can you give an estimate of the time in each case? (3) p.7, l.159: can you be more precise than ""reasonably realistic samples""? Are there metrics that exist that could quantify by a number the quality of the images produced? (4) p.8, l.163: took much longer: can you be more precise? etc.
- I find that overall, the report does not take a step back w.r.t the experiments it makes. As a consequence, the RR did not reflect on some of the differences, notably Fig.3 (the snake network starts to diverge, on the contrary to OP's Fig. 4) and Fig.5 (the snake network does not fit the training points): how can these differences be explained? 
- The RR mentions having to find / guess some hyperparameters (Sec 3.3), but does not comment on the value that was ultimately found and used in the report, or the range of hyperparameters that was tested. It is true that the code is available on Github, but an explicit reference to it would help lift the doubt on certain implementation details. For now, the reader does not gain the knowledge missing from the OP by reading the RR.
- It was often difficult to separate the RR's conclusions from the OP's (for instance, it is confusing on a first read if the last paragraph of p.5 contains conclusions from the RR's authors or the OP's authors, or even if the experiment itself was in the OP (since the experiment does not appear in the main paper, but in the appendix)).

===

Overall, I believe the report could be improved by introducing each experiment better, providing the implementation details, and giving a conclusion on the reproducibility of each experiment. Adding numerical results indicative of reproducibility (was the reproduced end accuracy of the model within X% of the OP's results?) for each experiment would help ground the report, and help it discuss in more details the state of reproducibility of the OP.

===

__Additional comments__
- Some figures are not referenced (ex: Fig.2, Fig.3, Fig.4,). This is problematic because this reinforces the idea that the experiment was run in the RR without an analysis of its results and its significance. How can you tell that the results were indeed replicated?
- The RR mentions that reimplementing the initialization was not obvious from the paper and that one of the OP's authors helped. An additional comment about what was the problem / what was the solution found (or at least a pointer to the RR's code) would be useful.
- Regarding the discussion of Fig.8: it seems to me that the difference between the RNN and the MLP could simply be due to a regularization effect: the RNN also seems to learn the right lower frequency. 
- The authors mention in the reproducibility summary that they reimplemented everything from scratch, though looking at the code, it appears that some implementations (of the LaProp optimizer or of the base code for the GAN) were based on existing codebases. While obviously the authors are not expected to recode *everything* from scratch, it would be more transparent to indicate that some parts of the code were built on top of existing code in the RR. 
- A mention of the software used (Pytorch for the neural networks) would have been useful, as all libraries do not have necessarily the same default hyperparameters. Similarly, the authors mention in Sec. 3.5 that many experiments could be run locally: more details on the local hardware (which CPU for instance, a minima an indication on the quality of the ""local"" computer that was used) would be welcome.
- The RR mentions that making the parameter  a learnable was not properly explained in the OP. Here too, a pointer to the solution found would be appropriate.
- The introduction is extremely close to the one in the OP. I would suggest reformulating the introduction more, or possibly shorten it, to avoid repeating the OP.
- The figures were overall well made and close in design to the original paper, which helps when comparing results. Possible improvements could be to respect the color attribution for different models (Fig.2) and making sure that the scale of two plots coincide to make comparisons easier (Fig.10 top left and bottom left, Fig.13 for instance).",ysFCiXtCOj
6,"The paper is well written and clearly structured.
It is a valuable confirmation of the original paper.
I only have a few formatting criticisms:

sin, cos, and snake should not be italic, but rather \sin or {\rm sin
I think, „4e -4“ should be relaced by 0.0004 or 4\cdot 10^{-4}
In Section 4.4 „Effect of \alpha$, use \boldmath{\alpha}

",ysFCiXtCOj
7,"The presented report is well organized, systematic, clear and concise with most of the major experimental results reproduced and reported. To begin with, authors have clearly mentioned the key claims to be investigated in the scope of reproducibility with the focus on the properties of  the activation functions and their behaviour in the experiments reported in the original paper. It has also been proposed to conduct additional experiments beyond what is already covered in the source paper. These includes DCGAN for handwritten digit generation and LSTM model for sentiment analysis, each modified to include the proposed snake activation function. It is however to be noted that when result plots for different cases are not reported in the same graph, it helps to report them on the same scale, wherever possible (e.g. Figure 12 and 13), for easier comparison.

Due to the unavailability of the source code from the author's of original paper, the current authors, in consultation with the original authors, have done a good job of replicating the results, which is matching qualitatively to a great extent with the ones reported in the original paper. While the architectural details were available in the original text, the hyper-parameters and any other information missing were assumed and arrived at with trial and error.

Most of the results from the main content of the original paper has been reported and are found to be qualitatively matching. Figure 1 has demonstrated the inability of learning periodicity outside of the training region and thus substantiates the claim 1 of the scope of reproducibility. These reporting also matches with the corresponding figure in the original work for the widely used activation functions - ReLU and Tanh.

To substantiate claim 2 which states that the proposed snake activation function captures periodicity outside of the training samples and also maintains favourable optimization properties such as loss reduction comparable to or better than ReLU activation, corresponding results from original work has also been reproduced. Although the frequency of the sin wave used in the experiment appears to be different, it is helpful in demonstrating that even though periodicity is observed, significant deviations can still occur at far away places from the training samples. Nevertheless, differences in implementations can be a source of difference.

In addition to the demonstrations on synthetic datasets discussed earlier, the authors have further reproduced results on real-world/application oriented datasets that includes performance reporting of ResNet18 on CIFAR-10 dataset, atmospheric temperature prediction in Minamitorishima island (Japan), patient body temperature prediction and Wilshere 5000 index prediction. All these reported results corroborates the points in the original paper across varying and diverse datasets.

Finally, the authors have reported results for a few experiments from the Appendix section such as the one showing the effect of various value of $a$. It is also admirable that they have reported results and discussed implications of use of snake activation function in other scenarios such as training DCGANs and LSTMs. While the snake activation was shown to have reasonable and comparable training speed and test performances as evidenced by Figure 2 and 4, the extra experiments on non-toy datasets helped in highlighting the relatively slow training speed.

Thus, overall, the authors have tried to cover extensive set of experiments demonstrating pros and cons of the proposed snake activation function and have reproduced the results qualitatively to a great extent. The difficulty in reproducing some of the work such as comparison with RNN on regressing a Simple Periodic function where the details were missing and the data points had to be inferred from the graphs have been mentioned. Similarly, it is also suggested to clarify the implementation details for showing variance correction using ResNet101 on CIFAR-10 for better reproducibility.",ysFCiXtCOj
8,"In this report, the authors reproduce the experiment parts of the paper: ""Can Gradient Clipping Mitigate Label Noise?"" by Aditya Krishna Menon, Ankit Singh Rawat, Sashank J. Reddi, Sanjiv Kumar.

The main contributions of this report are: 
1. The authors reproduce experiments of the original paper to prove that Partially Huberised Loss does have label noise robustness.
2. The authors report corrected hyperparameters that were reported incorrectly in the original paper.
3. Although it's not so much different from what the original paper insists, the authors provide results that are different from the original paper.
4. The authors clarify that the ResNet-50 architecture used in the original paper differs from the architecture of He et al. 2015 (this choice was not made clear in the original paper) and explains why this modification is necessary.

Minor issue:
In experiments using Long & Servedio dataset, there is no explanation for why is the accuracy becomes lower when the corruption rate ρ is lower.


Verdict:
The report contains some solid experiments and additional information and corrections not in the original paper. I can see researchers trying to build upon the original paper benefitting from reading this reproducibility report. For this reason, I recommend the report be accepted.

",TM_SgwWJA23
9,"The report aims to reproduce a paper on so-called Partially Huberised losses. These losses are used to mitigate the label noise. The report replicates all the experiments from the original paper and makes insightful discoveries.

The report is well-written and easy to follow. The original paper is summarized and all the experiments are described in details. The report also mentions the communication with the authors of the original paper which revealed some typos or mistakes in the original paper.

The original paper was reproduced from scratch with a different framework (PyTorch, instead of Tensorflow). This is good way to test the reproducability.

Suggestions for improvements:
- The very first section ""Scope of Reproducability"" should discuss, the scope. What the report reproduces and what it does not.
- The hyper-parameter search is the same as in the original paper. The report does not go an extra mile to search wider space. Nevertheless, I understand that such experiments may be time consuming and require a lot of computational resources.
- It is always desirable to include extra datasets, extra experiments, more architectures to more thoroughly test the claims of the original paper.
- Section 4.2.2 mentions that the reproduced experiments used the mixed precision for training. The report should clarify if this is different from the original paper and if it may influence the results.

Overall, this is a good report. I recommend accept.",TM_SgwWJA23
