,Class Index,Description
0,3, Then the method is tested in several image and text data sets.
1,3, Have you considered training jointly (across the tasks) as well?
2,3,\n\nThe contribution of this approach could be better highlighted.
3,3," I would expect the notation style to be consistent within a single equation (i.e., use ||w||_2^2, ||w||^2, or ||w||_{l_2}^2)\n\n3.)"
4,3, Was that meant to be z?
5,3," If my understanding is correct, the LTMN is trained to predict the baseline solver's output."
6,3," While this is certainly believable/expected, such a result would depend on the external rewards R_{it}^{ex}, the observation costs \\sigma_{jit}, and the network topology."
7,1,\n\nMinor comments:\n\u201cFor kennels with q(w) other than Gaussian\u2026 obtain very accurate results with little effort by using Gaussian approximation of q(w)\u201d.
8,3,"\n\nThe results are interesting overall, but the paper has many caveats:\n1.  the results are only for ConvACs, "
9,3, I am supposing this is at the test time. 
10,3,"\n\n(1) The CNN+self-attention was mainly borrowing the idea from (Vaswani et al., 2017a) from NMT to RC."
11,3," Instead of merely defining an architecture as a Directed Acyclic Graph (DAG), with nodes corresponding to feature maps and edges to primitive operations, the approach in this paper introduces a hierarchy of architectures of this form."
12,3,"\n5. In the conclusion, it claims the system is efficient in helping current model. What do you mean by \""efficient\""?"
13,3, My main concern is the underlying assumption (if I understand correctly) that the adversarial attack technique that the detector has to handle needs to be available at the training time of the detector.
14,3, The proposed GAN generator consists of two components where one focuses on generating foreground while the other focuses on generating background.
15,3, I see a benefit in interpretation which can help.
16,3,"\n\n\n[1]  C. Sonderby et al., \u201cLadder Variational Autoencoders.\u201d  NIPS 2016.\n[2]  A. van den Oord et al., \u201cConditional Image Generation with PixelCNN Decoders.\u201d ArXiv 2016.\n[3]  I. Gulrajani et al., \u201cPixelVAE: A Latent Variable Model for Natural Images.\u201d  ICLR 2017.\n"""
17,3, otherwise I don't actually have any comments on the text.
18,3,"  The framework does include several components and techniques from latest recent work, which look pretty sophisticated."
19,3,"\n* It appears like the beginning of the second paragraph in Section 5.2 describes figure 1. Is this correct?"""
20,3, Optimal hyperparameters are usually model-specific.
