,Description,Class Index
0," \n- Section 4.3: the performance measure is not relevant regarding distributions. The l2 distance is somewhat OK for means, but it makes little sense for covariance matrices. """,1
1," \n\nIn conclusion, the paper's approach to multitask learning is a clever combination of prior work.",1
2,The sentence is not only overly complex but is a string of theory-jargon that purports to be a dog but is rather a dog skeleton with half the bones missing h/,2
3,"\n- Warped Convolutions: Efficient Invariance to Spatial Transformations, Henriques & Vedaldi.",1
4,\n\n A simple nearest neighborhood and a likelihood model is built to assign a picture to an object class,1
5,I think the N-mixture modeling should be abandoned: it is clear that they [the authors] do not understand this class of models,2
6, The latter is not recommended since the authors use double quotes in the abstract to express that the exploding gradient problem is not solved.,1
7," \nb.\tRelated to the previous issue, it is not clear to me if in figure 3 and 5, did the authors binarize the activations of that specific layer or all the layers?",1
8," Addressing some of these issues would likely prevent scaling to millions of (real) sentences, as the scalability is reliant on programs being efficiently executed (by simple string matching) against a knowledge storage.",1
9,I am concerned that so many trees died for this to be the result.,2
10,the sthanthard of writing is impercable,2
11," It boils down to these simple commonly known facts about deep RL agents:\n- When evaluated outside of its training distribution, it might not generalized very well (figure 4/6)",1
12,  However there are several weaknesses to the paper (or maybe just things I didn\u2019t understand).,1
13,It reads as if the author were giving a lecture and wandered off point to tell an interesting story.,2
14,Neither research nor science,2
15,\n - Fig 3: This could really be drawn considerably better: make the dots bigger and their colors more distinct.,1
16,"Not now, not ever.",2
17," The paper is aiming to solve a practical problem, and has done some solid research work to validate that.",1
18,"\n\nI do want to note my other concerns:\n\nI suspect the theoretical results obtained here are somewhat restricted to the least-squares, autoencoder loss.",1
19, Have you compared with using random embeddings for the named entities?,1
20,I really want to like this study. ? Crap. It's me. I'm stopping you,2
21,  \n\n%%% After Author's response %%%\na. My mistake. Perhaps it should be clarified in the text that u are the weights.,1
22,\n\nOne interesting point this work raises is whether the algorithm is essentially learning universal perturbations (Moosavi-Dezfooli et. al).,1
23,this is where the real problems start,2
24,This reads more like a shopping list than an academic paper.,2
25,I want to vomit; I cant believe this paper was submitted.,2
26,"There is no novelty in the work, the approach or the results and the implications in this context are quite possibly irrelevant.",2
27,"I would suggest activating the spellchecker on Word, or keeping the cat from walking on your keyboard",2
28,This article reads like the work of a reasonably competent undergraduate.,2
29,"\n\nConcerning the text, some questions/suggestions:\n- Abstract, line 1: I suppose \""In the Chinese society...\""--- are there many Chinese societies?",1
30, The JMVAE seems to generate more diverse (better coverage) results which are not consistent with the claims in the related work.,1
31,I am not convinced if any clear real value of this research.,2
32, I would expect the resulting architecture to perform at least as well as variable action nets.,1
33,This paper makes no contribution,2
34,"entire review:] 'Research method is very important; however, the reviewer cannot accept a paper without hypothesis, validity, reliability",2
35,This paper contains neither theory nor research.,2
36,"\\n\n\nOverall, I like the paper, I like the algorithm and I think it is a valuable contribution.",1
37,"...But it would take me a long time to try and figure this out, so I am approving publication  ",2
38,There are so many things wrong with this manuscript that I do not know where to begin,2
39," Moreover, is CIFAR 10 experiments conclusive enough. """,1
40,Intermediary steps and the apologetics for [topic x] derived from an ahistorical cult and its author.,2
41," Furthermore, in the same Section 2 the paper fails to mention that reinforcement learning training also does not completely correspond to the evaluation approach, at which stage greedy search or beam search is used.",1
42,This paper is fluently written and meticulously researched. I do not recommend it for publication.,2
43, The authors also did a good job in connecting with existing works and gave concrete examples for Gaussian policies.,1
44,  I myself am very curious about what would happen and would love to see this exchange catalyzed.,1
45, I support the acceptances of this paper.,1
46," I still think the work is somewhat incremental, but they have done a good job of exploring the idea (which is nice).",1
47,This is (Im sorry) utter nonsense.,2
48,\n\n\nREVISION: I have decided to raise my rating from 5 to 7 as I feel that the authors have adequately addressed many of my comments.,1
49,\n+ The approach is a novel twist on an existing method for learning from noisy data.,1
50," If not, then C is not proportional the identity matrix, as claimed in section 5.3.",1
51,"  However, this suspicion on my part is actually a reason I think it might be *good* for this paper to be published at ICLR.",1
52,  The authors relate this idea to a recent dynamical systems view of ResNets in which residual blocks are viewed as taking steps in an Euler discretization of a certain differential equation.,1
53,The results section is not great (boring).,2
54,"\n-\tAlthough the lexicons for valence, arousal, and dominance provide different information, their combination did not perform best.",1
55,This is starting to feel like a book report,2
56,I do not have the background to assess the accuracy or to detect errors in the equations but I do not agree with this,2
57,"The authors presents a flurry of statistics, but they do not explain why or how those are relevant to the study",2
58,"I'm not inclined to suggest acceptance because I haven't enough elements to do so.

Significance: 7/10
Soundness: 8/10
Presentation: 9/1",2
59," \n\nWhile the proposed penalty is described as a novel contribution, there are multiple instances of previous work which use the same type of penalty (Cheung et. al. 2014, Cogswell et. al. 2016)",1
60,Based on these my recommendation would be that the present manuscript cannot be published in this or any other journal,2
61,".\n\n(2) I think it would have been stronger if the authors would have provided some empirical results validating their claims. \n\n""",1
62,"Overall, I think this manuscript is a waste of time.",2
63,"\n\nAll of which is true as far as it goes, but I think it\u2019s a bit of a distraction.",1
64,To me the question is uninteresting,2
65,"I guess this proposal could be interesting, if youre interested in this obscure sect of biology",2
66,\n\nThe filters by themselves seem trivial and as such do not offer much novelty.,1
67," Many of the results used require smoothness of the second derivative (e.g., the implicit function theorem) but these are nowhere stated.",1
68,"The 'Theoretical Analysis' section is trivial and requires no analysis, as any sensible schoolkid can identify its solution",2
69,The language is so inaccessible that I can't make up my mind whether they're trying to hide something or actually think this is good writing,2
70," However, descriptions in these two sections are very confusing, e.g, many symbols in Algorithm 1 are presented with any descriptions.",1
71,\n\n\nPro:\n-\tA novel idea of producing natural adversary examples with a GAN,1
72,"In summary, the conclusions of the manuscript are on one side well known results achieved in a complicated way without demonstrating the advantage of proceeding so, and on the other side unfounded speculations based on simplistic reasoning and irrelevant setup.",2
73,"I recommend to drop these assertions and predictions, and just characterize the effects. Unfortunately this revised scope is more limited.",2
74," So it is not clear if the proposed algorithm is better for training the classifier, which may be of more interest.",1
75,"I was really looking forward to reading this manuscript, however this enthusiasm soon waned.",2
76,I stopped reading here.,2
77,"\n\nWhile the paper is fairly easy to read (because the method is simple and Figure 1 helps understanding the model), I think that copy editing is needed.",1
78,"Recommendation: Publish elsewhere.
Comments: [none] ",2
79,"This is a misleading paper, badly executed and negligently written",2
80, The authors also showed theoretically and empirically on synthetic data sets that the low redundancy and larger set of labels in crowdsourcing gives better results.,1
81, The advantage is the possibility of more parallel decoding which can result in a significant speed-up (up to a factor of 16 in the experiments described).,1
82,I am constructing this review more in a stream of conscious thought than a systematic assessment.,2
83,There is so much that is wrong with this paper that it is difficult to know where to start,2
84," However, they include a useful ablation study that shows fairly clearly that both ideas (1) and (2) contribute equally to their modest gains, and that without them (FA-NMT Shared=No in Table 2), there would be almost no gains at all.",1
85,So many electrons worked so very very hard on this paper,2
86, Movielens comes to mind.,1
87, I encourage the authors to have the work proofread by a native speaker; clearer writing will ultimately increase the reach and impact of the paper.,1
88,"The quality of the data need to improve substantially. The data shown are not compelling, lack clarity, and do not support the conclusions.",2
89, While the empirical result is strong it is not clear that the proposed model is the best way to obtain the improvement.,1
90," This explicit approach is shown on synthetic experiments to preserve more information about the target, yield better reconstruction and converge faster than the baseline.",1
91, the paper leaves something to be desired in quality and clarity.,1
92, A nice application\nof the separable principle to GCN.,1
93,"Rev 1: The paper is generally well written (the English is good)
Rev 2: A proof reading by a mother tongue would improve readability.",2
94, This is obviously not enough.,1
95,I would very much have liked to read the article promised in the abstract.,2
96,"Through streamlining, more meaningful references and restriction to the essentials, the manuscript may still be saved",2
97,This paper does not offer a revolutionary breakthrough,2
98, \n\n\n2) Pros:\n+ Novel idea that makes sense for learning a more robust representation for predicting the future and prevent only local temporal correlations learned.,1
99,"The authors spelling of coordinate, while technically correct, is arcane and annoying.",2
100," For example, it might be better to have a preliminary section before Section2 introducing the original differentially private SGD algorithm with clipping, the original FedAvg and FedSGD, and moments accountant as well as privacy amplification; otherwise, it can be pretty difficult for readers who are not familiar with those concepts to fully understand the paper.",1
101,This study does not go much deeper than a sunday morning kitchen table calculation,2
102,"""The quality of this paper is good.",1
103,It is hard to imagine researchers of this caliber being unaware of a half-century the field X,2
104,\nThere is not much that's technically new in the paper-- at least not much that's really understandable.,1
105,\n\nThe novel contribution of the regularizer proposed in this work is that it also penalizes the variance of individual dimensions along with the cross-covariance.,1
106,"As far as this reviewer can tell, what the authors present is not so much a model as it is an equation.",2
107,"If the editor somehow accepts this paper, they risk permanent destroying the credibility of this journal and its editorial board",2
108, \n\nCons: \n- All experiments use simulated workers; this is probably common but still not very convincing.,1
109, It would be good to justify (empirically) the proposed reward function.,1
110,You have put in a lot of effort answering a question that should have never been asked -..,2
111, Both these models are built off of an existing model on SQuAD \u2013 the Bidirectional Attention Flow (BiDAF) model.,1
112, Such representation style is highly discouraging and brings about un-necessary readability difficulties.,1
113,You know nothing about [general topic of the paper]. Cite [five irrelevant citations from same scholar].,2
114," However, I am not convinced that this is novel enough for publication at ICLR.",1
115,This left me somewhere between scratching my head and pulling my hair out,2
116," For this reason, I vote for a borderline accept.",1
117,"In the course of this paper many stones were thrown but, unfortunately, no birds were harmed.",2
118,"I really dont like to be harsh in my reviews, but…",2
119, In this setting the behavior policy can have terminations and episodes in the classic sense (perhaps due to time outs).,1
120,The supportive tone of this review… took some effort. ,2
121,"Did all 5 authors say,Yes, this is a piece of work I am proud to have my name on? - Twitter",2
122,"Even if other readers found it comprehensible, there is not even a proposed path to make [this model] into a modeling system.",2
123, \n\n2) The inclusion of remaining-time as a part of the agent's observations and resulting improvement in time-limited domains is somewhat obvious.,1
124,The manuscript presents the resits [sic] of a meta-analysis which seems to be based on very abundant but very poor primary data,2
125,You're really funny.,2
126, This is especially true as a more challenging benchmark\ncould be created very easily by simply scaling up the image.,1
127,The article could benefit from a good linguistic editing in order for it to be better sound and...,2
128, The idea is an extension of the earlier developed MCMC with people approach where samples are drawn in the latent space of a DCGAN and a BiGAN.,1
129, Also some at least quantifiable (if not benchmarked) outcomes should have been presented given the rather strong claims/conclusions in abstract and discussion/conclusion sections.,1
130,  Cons:   A very natural and simple solution that is fairly obvious.,1
131,\n\nSome of the results are quite entertaining indeed.,1
132," The experiments performed show that the proposed approach, after\nhyper-parameter tuning, significantly outperforms the epsilon-greedy\nexploration approaches such as DDQN.",1
133,I also thing that the English of the manuscript need further polishing.,2
134,The work that this group does is a disgrace to science,2
135,"\n\nOverall, I would argue that this paper is a clear accept.""",1
136,"papers such as this, lacking any knowledge of astronomy and physics, should never be published in any scientific journal with referees",2
137,"\n\nThe paper is largely well-written and well-motivated, the overall setup is interesting (I find the authors' practical use cases convincing---where one only has access to imperfect data in the first place), and the empirical results are convincing.",1
138,"This is an interesting manuscript, not because of its results, but because of its complete ignorance of due scientific process",2
139,"It is difficult to imagine any paper overtaking this one for lack of imagination, logic, or data—it is beyond redemption",2
140,"""The key contribution of the paper is a new method for nonlinear dimensionality reduction.",1
141," It is not surprising that algorithms that take this into account do better, as your examples and experiments illustrate.",1
142,This is a antique approach to a modern characterizationproblem,2
143,  There are several places where it is not immediately clear why a certain block of text is included (i.e. the proof outlines on pages 8 and 10). ,1
144,"\n\nAlso, the paper needs to be re-organized in a better way (eg., state clearly the difference from previous methods, how to formulate the story, etc.) For now, I don't think it is ready to ICLR. """,1
145,Where is research?,2
146,The authors should opt for a less pretentious title,2
147,\n3. trains variatns of a forward model f on the hidden states of the various learned agents.,1
148, It's not clear whether the examples shown in figures 7 to 11 are representative of the network's general behavior.,1
149,"""This paper introduces a method for learning new tasks, without interfering previous tasks, using conceptors.",1
150,"ntire review, not an excerpt: I do not trust the data or the underlying thesis.",2
151," \n\nThis paper has a lot of content, but not all of it appears to be relevant to the authors\u2019 central points.",1
152," The authors could then use this procedure to make highly trainable networks, and show that on test (not training) data, the resultant network leads to high performance.""",1
153,"""This paper presents a new idea to use PACT to quantize networks, and showed improved compression and comparable accuracy to the original network.",1
154," \n\nIn addition, as the encoder-decoder structure gradually becomes the standard choice of sequence prediction, I would suggest the authors to add the sum of parameters into model ablation for reference.",1
155,"There is potentially an interesting essay to be written about [x], but this one isnt it",2
156,The writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy,2
157,"I invite the authors to provide compelling, coherent, and quantitative data.",2
158, Overall I believe this is definitely a solid contribution that will benefit both practitioners and researchers... as long as they got the computational resources to do so!,1
159, I'd expect more ablation studies by isolating the effects of dense connection and the use of multiple attention mechanisms.,1
160,\n\nDetails:\n- p. 4 please do not qualify KL as a distance metric ,1
161," The authors should also add information about the time it takes to compute the bound, the evolution of the bound in function of the number of samples and the distribution of the relative gap between the lower-bound and the best adversarial example.",1
162,"Though less enthused about manuscripts novelty, this reviewer does admire the hardworking of your group.",2
163,"  \n\nAnd note that the authors show that the proposed algorithm performs comparably to SGD, but not significantly better.",1
164,"This is such a promising topic, but I was very disappointed in this paper combining a substantial amount of author talent.",2
165," As far I understand, all of the original work policy gradients involved stochastic policies.",1
166,Ive never read anything like it &amp; I do not mean it as a compliment,2
167,"  It makes main points\n1) ``standard GAN'' is an ill-defined term that may refer to two different learning criteria, with different properties",1
168,This paper is desperate. Please reject it completely and then block the author's email ID so they can't use the online system in the future.,2
169,"  \n\nSmall comments\n---\nThere is a typo in Figure 4 -- \""Howerver\"" should be \""However\""",1
170,"""1) This paper proposes a method for learning the sentence representations with sentences dependencies information.",1
171,'The only redeeming aspect of this manuscript is that it is so poorly written that it fails to convey the incorrect conclusions drawn here' [from the most recent episode of  on the review process,2
172,"Authors wanted to make title catchy but actually finished trivial title, a la Daily mail",2
173,"\n\n          Limited experiments \n\n""",1
174,\n\nWhat concerns me is the extension to multiple layers.,1
175,It is more of a blog post than a research article,2
176," The term \""posterior value\"" sounds ambiguous",1
177, Sketching some such scenarios would help the reader understand why the issue is practically important.,1
178,\n\nI expected the numerical experiments to show results instructive about what representations or what abstractions are learned in the different layers of the network using the learning algorithm and objectives suggested.,1
179, This can be improved to help readers understand better.,1
180,\n\nThe paper mentions that the approach is \u201cunsupervised\u201d. ,1
181,"\n\nSection 3 describes the experiment settings, the results, and discusses the learned representations and the possible implications of using either the deep architectures or the \u201cbaseline\u201d Random Forest classifier.",1
182,"The whole paper reminds me of a paper of a couple of years ago, which I didnt like.",2
183,Figure 6. This figure is silly.,2
184,the sthanthard of writing is impercable,2
185,…defining general populations for studies might help the reader and help the authors avoid their meaningless generalities.,2
186,\n\nI like this paper.,1
187,The way the study is framed here and in the main body comes off as straw-mannish.,2
188, Are the differences between SQDML/RAML and ML significant?,1
189,"If the results are correct they cannot be new, if they are new they cannot possibly be correct. It is hard to say which is the case",2
190,"While the authors have no legal obligation to cite these unpublished results, they are probably morally obliged to consider them",2
191,"Limited scholarship, flawed design, and faulty logic engender no enthusiasm whatsoever",2
192,"I haven't read the word audacity yet in commenting on my reviews, so that is a first. 

- Reviewers response to a response to their revie",2
193,Is this not the most frightening finding of all?,2
194, However one of the problems of this paper is clarity.,1
195,They show they can account for 20% of the variance. No wonder. The usually accepted level is 50% to...,2
196, \nComparison of Maximum Likelihood and GAN-based training of Real NVPs\nhttps://arxiv.org/pdf/1705.05263.pdf,1
197,"Limited scholarship, flawed design, and faulty logic engenders no enthusiasm whatsoever.",2
198," Aside\nfrom the WGAN critic needing to be optimized for more steps, couldn't the\nremaining components be trained jointly, with a weighted sum of terms for the\nencoder?",1
199,Are you trying to be funny? Dont.,2
200, The claim of competitive performance needs better justification according to the presentation of the F1 scores.,1
201,"'Putting it unfairly perhaps, and I am sure this is not what is meant, but one ungenerous reading of the proposal is...",2
202,I have received one highly negative review and wondered whether it could be overcome by other reviews. I conclude that the answer is no,2
203, Why the error rate reported here is higher than that in the original paper?,1
204, This would enable a better test of the generalization capabilities in what is essentially a continuously changing environment.,1
205,\n- The basic observation wrt the behavior of AT is clearly communicated.,1
206," For more complex tasks (even over just text), it is necessary to show that you outperform RN w/o considering all objects in a pairwise fashion.",1
207,Appears to be on the perimeter of meaningful investigation.,2
208,I started to review this but could not get much past the abstract,2
209, \nAs a reviewer my impression (which is subjective) is that the authors used difficult language to make the manuscript look more impressive.,1
210, This approach was first proposed in Domke 2012 and refined by Maclaurin 2015 (as correctly mentioned in Maclaurin 2015).,1
211,\n- Intensive experiments to validate the performance.,1
212,\n\n- The computation time for the linear model shown in Table 3 is quite surprising (~20 minutes for linear regression of 5k observations).,1
213, \n- It is not clear to me where the baseline results come from.,1
214,"While this study represents a substantial amount of work, it is not all that clear why the work was...",2
215," The shown samples from model looks extremely, low quality and really hard to see the authors interpretations of it.",1
216,"This study, an original work and repetition of earlier feature of these studies is similar. Writing language is quite a lot of errors",2
217,"  but without a thorough rewriting of the mathematical sections, it is difficult to fully comprehend its potential and applications.""",1
218,Despite promising a very general result this manuscript unfortunately does not deliver (almost) any of the things listed in the abstract.,2
