,Class Index,Description
0,2,The authors have not bothered to learn the first thing about the theories they are hoping to refute with ill-designed experiments and muddled rationale
1,2,"Table 4 seems unnecessary given figure 8. Indeed, figure 8 also seems unnecessary

-R2 has been watching Tidying Up"
2,1," Especially it borrows the cyclic loss from the image style transfer, which provides a reasonable regularization to the text style transfer model."
3,1,"n\nThe paper, however, misses comparison against important work from the literature that is very relevant to their task \u2014 decipherment (Ravi, 2013; Nuhn et al., 2012; Ravi & Knight, 2011) and other approaches like CCA."
4,1,\n\nOverall the paper is well written.
5,2,"How does [redacted theory] explain your results? Or really, your underwhelming results?"
6,2,"They include practical examples and code samples, and (in a slightly bizarre move) source code will be made available on acceptance."
7,2,there is no evidence to show this is the first paper to propose the idea
8,1, Right now the results are not very convincing.
9,2,Why exactly this task? I can think of a zillion other cognitive tasks
10,2,"eviewer : 'The project can hardly be described as high risk/high gain' 
Reviewer : 'The project is clearly high risk/high gain"
11,2,The authors should completely revise it after completing the study and by following common scientific standards
12,1," Could this submission show some fine-tune experiments?"""
13,1, \n2. A cycle consistency loss that makes sure the content vector of transferred sentences and style vector of the original sentence should be able to reconstruct the original sentences.
14,2,default settings?? huh???
15,1,"\n- It would interesting to compare this approach with a conditional training pipeline that sequentially adds branches, keeping the previous branches fixed."
16,2,This is a long and tedious manuscript 
17,1," \n\nWhile the experiments are compelling,"
18,1,\n\nReview:\nThe manuscript describes the proposed algorithm in great detail and the description is easy to follow.
19,1,"\n- The main contributions of the paper can be seen as an incremental version of (Franceschi et al, 2017) based on the proposal in (Luketina et al., 2016)"
20,2,Often sounds like a precocious high-school student who is trying to show off how clever he is
21,1," Many terms are not defined or defined after being introduced (e.g. CIGAR, MF, BQMQ)."
22,1," This way, finer discretization does not increase the dimension of \\x (nor its approximation), but rather improves the resolution."
23,1, (b) To find the value that best matches a key at the decoder stage?
24,2,"Reviewer : The conclusions are supported by the results and discussion.
Reviewer : The conclusions are not supported by the result"
25,2,The supportive tone of this review… took some effort.
26,2,This manuscript is a long drive through a countryside. A lot of stuff is irrelevant and pointless.' h/
27,2,The results look like a smorgasbord of data
28,2,I dont believe in simulations
29,2,I doubt that many readers will read anything beyond the abstract if the article remains in its present form
30,2,Perhaps I have just read these papers at monthly intervals and the author had bad luck.
31,2,here is no point in [..] the statistical overkill in the submission. It simply should not have happened. It should never happen again
32,1,"\n\nI have some concerns about the paper, maybe most notably about the experimental result and the conclusions drawn from them."
33,1," For (2), the \""hard\"" functions has a better parameterization, and the gap between 3-layer and 2-layer is proved bigger. "
34,1, But there are a few key issues that are not clearly addressed and the experimental results are not convincing.
35,2,"presumptuous, ignorant, ill-conceived and downright dangerous"
36,2,"The text is marred by conceptual messiness, careless reasoning, sloppy phrasing and  inadequate acquaintance with the relevant literature"
37,1,"\n- The proposed idea (TreeQN) and underlying motivation are almost same as those of VPN [Oh et al.], but there is no in-depth discussion that shows why TreeQN is potentially better than VPN."
38,1, \n\nPros:\n* Important problem
39,1," Because of different benchmarks, it is not clear whether the performance improvements are due to technical improvements or sub-optimal parameters/training for the baseline methods."
40,2,"eviewer 2 method acting You will notice that my comments are a bit jumbled, this is somewhat a reflection of the need for improved organisation of the MS in general"
41,1," This is quite a static strategy, I was assuming the authors are going to use some IR method over the web to back up their motivation."
42,2,"The data are weak, based on very small samples, not analyzed properly, and based on measurements  in the wrong medium. I see little value."
43,1,"""Summary:\nThis paper proposes a new approach to tackle the problem of prediction under\nthe shift in design, which consists of the shift in policy (conditional\ndistribution of treatment given features) and the shift in domain (marginal \ndistribution of features)."
44,1," The paper essentially introduces a method to use off-policy data, which is of course important,"
45,2,The interchangeably use of evaluate and validate is a concern as it is not clear if authors know the difference between these 'verbs' 
46,1," However, no detailed information is given in the paper."
47,2,Black-box modeling exercise using a hodge-podge of data tied together with a poorly-defined model
48,2,"I urge the authors to not publish this article anywhere, as it will impede the progress of scientific understanding"
49,2,I am personally offended that the authors believed that this study had a reasonable chance of being accepted to a serious journal
50,2,"Can you explain this part a bit further, but without going into detail."
51,2,"I cannot figure out what point you are making and why you have written this article. This version cannot be saved, so start again with a much clearer vision of what you are trying to say, and the point you are making."
52,2,I suggest you consult a competent statistical advisor.
53,2,Table 2 stunningly over-interprets some relatively small signals in the data.
54,2,In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article
55,2,I now have had a chance to look at this paper. I think it is a bit of a joke.
56,1,\nThis idea however is difficult to be applied to deep learning with a large amount of data.
57,2,Please use something in parenthesis so your reader doesnt have to take a break from reviewing your work to Google it
58,1,"  To the reviewer, It seems \u201clife-long learning\u201d is the same as \u201conline learning\u201d.[[CNT], [CLA-NEG], [CRT], [MIN]]  However, the whole paper does not define what \u201clife-long learning\u201d is.[[CNT], [CLA-NEG], [CRT], [MIN]]\nThe limited budget scheme is well established in the literature.[[CNT], [CNT], [APC], [MAJ]] \n1. J. Hu, H. Yang, I. King, M. R. Lyu, and A. M.-C. So. Kernelized online imbalanced learning with fixed budgets."
59,2,This looks like a very early draft
60,1," Also, the experiments takes a fixed 20K iterations for training, and the convergence status (e.g. whether the accumulated gradient has stabilized the policy) is not clear."
61,2,You were either in a rush or you do not care too much about getting your paper accepted
62,1," \n\n- As pointed out by the authors, the idea of this formulation and doubly SGD is not new. "
63,2,"By the end of the paper, I was left with the impression that the lid had been lifted off a big can of..."
64,2,The authors have gained some attention in the community: most of this is due to the wrong reasons
65,2,Pleasepleaseplease with sugar on top remove sentences that sound like Hegelian light bulb moments while not meaning anything
66,1,"  First,  a major part of the paper tries to make the case that there is a symmetry breaking property of the proposed model, which I am afraid I simply was not able to follow."
67,1," Of course, that involves O(K^2) or O(K^3) computation, which is a weakness."
68,1," The early stopping criteria tend to favor suboptimal solution, indeed relying on the Cramer distance is possible improvement."
69,2,The authors need to add a level of puzzlement to their interpretations
70,1, The problem is of significance because in many applications one requires deep networks which uses reduced computation and limited energy.
71,2,I am concerned as it appears that participants in the current study were randomly assigned to one of three experimental conditions
72,2,It is always rather pleasant to recommend that a paper be rejected.
73,1,"""- Good work on developing VAEs for few-shot learning."
74,1,\n\nSignificance\nThis paper makes incremental improvements and would be of moderate interest to\nthe machine learning community.
75,1, It proposes many heuristics to use the object feature and attention weights to find the correct count.
76,1,"\n\nOverall, this is a very well-written paper that creatively combines a number of interesting ideas to address an important problem."""
77,2,"Like Dr Whos Tardis, the inside of the paper is bigger than the outside. - (H/"
78,2,"The paper descends into nonsense, never to return, on line 44."
79,2,Well Written. 
80,1," For example, have another RNN read the assertions and somehow integrate that."
81,1,  The inclusion of proof summaries in the main text would strengthen this aspect of the paper.
82,2,"But fundamentally, why did you bother?"
83,2,I would suggest that you do some homework and redirect this work to an actual new and novel and mechanistic work and test it against data
84,1," \n\nThere are several unanswered questions as to how this observation transfers to a semi-supervised or unsupervised setting, and also devise architectures depending on the level of expected noise in the labels."
85,1,\n\nThe paper is its current form has the following issues:\n1. There is hardly any baseline compared in the paper.
86,2,Ive never read anything like it &amp; I do not mean it as a compliment
87,2,"If the author is comfortable with having his/her name on THIS, then I wont stand in the way of publication."
88,1," When the coreset is empty, VCL turns out to be online variational inference [Broderich et al., 2013; Ghahramani & Attias, 2000]."
89,2,I now have had a chance to look at this paper. I think it is a bit of a joke.
90,2,I dont think this study would add anything to either theory or practice
91,2,"Sorry for our long silence, due to some perplexity on our side at reading your manuscript."
92,1, The wording here was confusing.
93,1,\n- No comparisons with prior work are provided.
94,1," \n\nAlthough I get the high-level goal of the paper, I find Sec. 3.1, which describes the technical approach, nearly incomprehensible."
95,2,Ive never read anything like it &amp; I do not mean it as a compliment
96,2,The beekeeping example also fails to convince. There is no discussion of bees' actual lived experience.
97,2,The presentation is of a standard that I would reject from an undergraduate student
98,1, Extensive experiments demonstrate the usefulness of the approach.
99,2,The authors should refer to the super interesting article on this topic in Wikipedia.
100,1, The analyses are interesting and done well.
101,1," This method presents a family that can span the entire space, but the efficient parts of this family (which give the promised speedup) only span a tiny fraction of it, as they require only O(log(N)) params to specify an O(N^2) unitary matrix."
102,1," \n\nAfter rebuttal:\nThe writing of the paper greatly improved, still missing insights (see comments below)."
103,2,"Yes measurements were made, but why, besides a teaching exercise, remains obscure."
104,2,The length of this review is occasioned by the density of error and misconceived arguments in this manuscript.
105,1," I\nlike the idea of using 3D generation, and particularly, 3D printing, as a means\nof generating adversarial examples -- there is definite novelty in that\nparticular exploration for adversarial examples."
106,2,A classic instance of reinvention of the square wheel.
107,2,"This paper is under-referenced, conceptually impoverished, and poorly written."
108,2,"The authors are perpetuating misguided generalizations in the face of substantial
experimental data to the contrary"
109,1," \n\nTo me, the paper in it\u2019s current form is not written well and does not contain strong enough empirical results, so that I can\u2019t recommend acceptance."
110,1,\n\n3. Some details are not clear.
111,2,"Not now, not ever. - Review of an NSF grant submission. This was the entire review"
112,2,The regression analysis is rubbish. Let's see what happens when you do this properly.
113,2,"Exhaustive pages of statistical and meta-analytic data and results which seem rather redundant are presented, about 60+ pages of minute analyses of each possible particle of data."
114,1,"\n- Sec 1: \""abilities not its representation\"" -> comma before \""not\""."
115,1,"\n* Problem statement in section 3.1 should certainly be improved.[[CNT], [EMP-NEG], [SUG], [MIN]] Authors introduce rather heavy notation which is then used in a confusing way.[[CNT], [PNF-NEG], [CRT], [MIN]] For example, what is the top index in $s_t^{3-p}$ supposed to mean?"
116,2,Are we modelling an astronomical object here or an abstraction?
117,1," Nevertheless, without going to that extreme, it might be worth adding an extra demo on something bigger than MNIST."
118,2,"This paper reads like a womans diary, not like a scientific piece of work"
119,2,"It is difficult to see the merits of this proposal, and it is doubtful whether the author can contribute anything to this area of research"
120,1," \n* The block quotes in the introduction may be quite important for points later in the paper, but summarizing the points of these quotes may be a better use of space. The authors more successfully did this in paragraph 2 of the introduction. \n* All long descriptions of the appendix should be carefully revisited and possibly removed due to page length considerations."
121,1," I think there are still some issues, but this work is both valuable and interesting, and it deserves to be published (alongside the Naesseth et al. and Maddison et al. work)."
122,1, I enjoyed reading the paper which is in general clearly written.
123,1, Usually it would be defined as $\\mathcal{S} \\rightarrow \\mathcal{P}(\\mathcal{A})$
124,2,This sentence is so hard to digest it gave me reflux
125,2,The reported mean of 7.7 is misleading because it appears that close to half of your participants are scoring below that mean
126,2,The conclusion drawn by the authors seems self explanatory and does not require any validation through the presenter work
127,2,"This manuscript uses half of the available pages, and fails to explain what has been done, how and..."
128,1,"\n\nWhile this paper is as far as I can tell novel in how it does what it does,"
129,1," It is unclear what exactly helps, in which case, and why.\u2028\n\n3."
130,1," The authors then propose an efficient parallel algorithm for this class of RNNs, which produces speedups over the existing implements of Quasi-RNN, SRU, and LSTM."
131,1," Then again, the major contribution of this work is not advancing the state-of-the-art on many benchmark tasks,"
132,1,\n\nOriginality: The authors demonstrate experimentally that there is a benefit of using non-saturating GANs
133,1,\n\nIt is rather unclear why changing the learning rate affects the performance of the model and it is would have been interesting to discuss.
134,1, \nThe experimental setting is also unclear.
135,1,\n\nThe reviewer is favorable in rising the rating towards acceptance if points 1 and 2 will be fixed.
136,2,I am not getting much support for your paper. I hope that privately at least you did not have great confidence in it.
137,1, (b) there are serious writing issues.
138,2,I started reading this manuscript with much anticipation but my enthusiasm was short lived.
139,2,"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup."
140,1,\n\n3. Why comparing to A3C+ which is not necessarily better than A3C in final performance?
141,1," Vanilla GAN is know to be hard to train and there has been many variants recently that overcome some of those difficulties and its mode collapse problem. \n"""
142,2,"It is unclear how this would advance the field beyond providing additional, previously unknown information"
143,2,It is always rather pleasant to recommend that a paper be rejected.
144,1,\n - p.2: You use pretrained GloVe vectors that you do not update.
145,2,I find the title and the main premise of the abstract confusing and illogical. [key concept X] has the logic of a Monty Python sketch
146,2,"This casual tone is also borne out on the author's website, which is inappropriate if not offensive as a professional introduction."
147,2,"I have read this paper several times through, and I have nothing to say in its defense."
148,2,The writing and data presentation are so bad that I had to leave work and go home early and then spend time to wonder what life is about.
149,2,"The fact that the question of this paper has never been asked should, on balance, count against the paper"
150,2,"I cannot make out signs of independent thinking, work beyond the state of the art, or anything groundbreaking"
151,1," A possible solution is to add a regularization term to the objective function to ensure the sparsity of the factorization."""
152,1," The ideas are interesting,"
153,2,This is a rather pedestrian treatment of a popular and well-reported topic
154,1,"\n\nThe problem considered by the paper is interesting,"
155,2,"Sorry for our long silence, due to some perplexity on our side at reading your manuscript."
156,1," \n\nOn top of this, I do not enjoy the style the paper is written in, the language is convoluted."
157,1,"""This paper focuses on imitation learning with intentions sampled \nfrom a multi-modal distribution."
158,2,"There is an over-reliance on sophisticated statistics at the expense of good old fashioned, scientific thought"
159,2,The authors criticize the approach of [citation of X] before introducing their own. Seems somewhat hypocritical to me.
160,2,Someone has been foraging in theory and has managed to learn how to mangle simple concepts and hide them behind pretentious empty prose
161,1, The paper has the potential of conveying the message of causality into the ICLR community and thereby trigger other ideas in that area.
162,1, It builds on previous works Montufar et al. (2014) and Raghu et al. (2017) and presents improved bounds on the maximum number of linear regions.
163,2,"If published, uneducated and misinformed statements like this would jeopardize the credibility of this journal"
164,2,"You do not use the empirical data for the analysis, but the empirical data uses you"
165,2,"A great deal of effort has been expended here, but to what end?"
166,1, However I would encourage authors to rephrase their claim of emergent translation (the title is misleading) as the authors pose this as a supervised problem and the setting has enough constraints to learn a common representation for both languages (bridged by the image) and hence there is no autonomous emergence of translation out of need.
167,1, Only on CIFAR100 the proposed approach is much better than other approaches.
168,1," In evaluation time, they insert these cells between layers of a network comparable in size to known networks."
169,1,  It is not clear what implantation of GAN they are using?.
170,2,Is this really a discovery or just the confirmation of math?
171,2,What is a systematic review? I have never heard of an unsystematic review.
172,1, The authors then compare their approach to previous work on the 8 datasets introduced by Zhang et al. (2015).
173,2,The current manuscript is deceptive and I do not recommend its publication.
174,1," To figure out if the GAN is adding anything, it would be nice to see what would happen if you varied individual coordinates in the filter space (\""x-space\"" of the GAN), or varied the magnitude of filters or filter planes."
175,2,"I am not sure why there is a full section about limitations, this in itself says a lot about the study"
176,2,It is a collection of good ideas that do not add up to or advance to any meaningful conclusion
177,1, In general it was an OK paper and there are many to be improved.\n\n+ Novelty seems minor.
178,2,Preliminary and intriguing results that should be published elsewhere.
179,2,"The results are obvious. In fact, so obvious that perhaps no one has bothered to write them down..."
180,2,"It was mentioned that participants were recruited. In research, we dont recruit study participants"
181,1," \nAuthors present two architectures: one based on denseNet, and one based on denseNet + LSTM on output dimensions (i.e. similar to NADE model), and compare it to state of the art on the chest x-ray classification."
182,1,"""The paper is well written and clear"
183,1,"  The architecture consists of an encoder, a mixer, a decoder, and many modality networks to cover different types of input and output pairs for different tasks."
184,2,"Bad language, weird sentences, half true statements and even nonsense statements continue throughout the draft, I refuse to review more of this draft until these language issues get fixed properly."
185,2,I did not attempt to understand Figure 2 because there was no motivation given for it
186,2,"For a section on thought, very little seems to have gone into it."
187,2,"When the reader is finished struggling through all the methods and results, he/she is left wondering whether it was worth the time."
188,1," In the experiments, authors only stated that \u201cwe fit the GPS architecture using UPS optimizer for varying degree of the neighborhood of the graph\u201d, and then the graph is used to train existing models as the input of the graph."
189,1,"""The paper considers a problem of adversarial examples applied to the deep neural networks."
190,1, \n\nThere are many baselines missing.
191,2,Not good.
192,2,Your research paper is not motivated. There is no motivation behind your algorithm. Your results lack motivation
193,1,\n They do not match up to the Zhang paper (I have tried to find the matching accuracies there).
194,1," The approach is evaluated on single word translation, cross-lingual word similarity, and sentence translation retrieval tasks.\"
195,1," Unlike the generative distribution sampling of GANs, the method provides an interesting compositional scheme, where the low frequencies are regressed and the high frequencies are obtained by \""copying\"" patches from the training set."
196,1, I would argue that there is a lot of evidence for local inhibitory connection in the cortex.
197,1," For instance, the authors could do more to explain Lamport Timestamps than a 1974 citation."
198,2,The manuscript shall be rejected in its current form if submitted for a journal
199,2,"Lots of work, effort, but no real science."
200,2,"The question is not very clear, the analysis is not very thorough, and the conclusions are rather trivial or even self-contradictory"
201,2,"In fact, your hypotheses are not all that complex are they? Nor is Figure 1; nest-ce pas? ,moi"
202,1," It captures local information into so-called blocks using self-attention, and then applies a second level of self-attention over the blocks themselves."
203,2,"X and Y are both tools that knotheads can use to move 
science backwards"
204,1,\n\nPros:\n- Good literature review.
205,1,"  The current 82.1% accuracy is nice to see,"
206,2,"it is impossible for the reader to keep track of the hundreds (thousands?) of acronyms in the paper. If there ever is an award for most acronyms in a paper, this one would win it hands down.  h/"
207,1,\n\nThis is a timely and interesting topic.
208,1,"\nb) suppose that we run an algorithm with fresh samples, then with respect to the randomness of the k-th sample, we have that with prob. 1, W_k is full rank, and the Jacobian of the model is full rank. "
209,2,The manuscript in the present form is not a review article but is rather a number of research papers stapled together.
210,2,This paper introduces tools to answer questions which it does not seem many people are interested in
211,2,To my mind the paper is similar to the medieval debate concerning angels dancing on pinheads. I do not think the paper should be published
212,2,This is a paper struggling not to die
213,1,"""This paper suggests a simple yet effective approach for learning with weak supervision."
214,2,Very very sloppy
215,1, What are the runtimes?
