,Description,forum
0,- The authors propose a new approach called DoubleU-Net for gland instance segmentation in the context of cancer diagnosis,3HQMxxEmiJn
1,The classification results (different stages of cancer) from the first phase are reused to enhance the instance segmentation in a second phase,3HQMxxEmiJn
2,"The doubleU-Net has a text-image encoding path, that incorporates the classification results in form of text (word2vec) and combines it with the original image to finally produce an attention map that is applied to the bottom of the U-Net for instance segmentation.",3HQMxxEmiJn
3,- The authors can show that their approach indeed improves the instance segmentation results greatly when compared to state-of-the art methods and their own method without using the text-encoding path.,3HQMxxEmiJn
4,### Major strengths of the paper,3HQMxxEmiJn
5,- The results are impressive and are better than current state of the art,3HQMxxEmiJn
6,The authors can clearly demonstrate that segmentation results improve when intermediate classification results (text) are presented to the network in a second iteration.,3HQMxxEmiJn
7,- The text-(image)-encoding path of the author's proposed method is flexible such that it can potentially be enriched with more meta-data about the patient,3HQMxxEmiJn
8,"Their research thus goes in an important direction, that is very relevant and not explored yet in the field.",3HQMxxEmiJn
9,### Major Weaknesses of the paper,3HQMxxEmiJn
10,"- The introduction and motivation is difficult to understand, and written in a very difficult and cumbersome language (see language section for more constructive feedback)",3HQMxxEmiJn
11,- It would be important to stress out that the presented model even without using a text input already outperforms most state-of-the-art methods,3HQMxxEmiJn
12,"To make this more visible in the paper, results from Table 4 row “Without Text encoder” could also be added to the summary results Table 2.",3HQMxxEmiJn
13,- The method is not described in full detail or it is difficult to understand,3HQMxxEmiJn
14,There are thus still some unclear parts about how the method actually works:,3HQMxxEmiJn
15,"In the method section, it is not described how to get from the output of the network (a softmax map) to the final instance segmentation (each object being represented with a different ID).",3HQMxxEmiJn
16,"There are two training iterations (1) and (2) (described in Figure 2), but it is unclear whether in training iteration (2), the image-encoding path is trained from scratch or retrained (eg",3HQMxxEmiJn
17,weights are initialized from training (1)).,3HQMxxEmiJn
18,"For cancer classification/grading (results Table 3), is the network after training phase (1) or (2) used? If (1), why do results improve with text encoding? If (2), how can grading get better if during phase (2), the network is only trained on L_seg and not the grading loss anymore?",3HQMxxEmiJn
19,"Word embedding: Based on the dataset, I assume that there is a very limited amount of words for each image (and I can’t recognize any sentences), but in the section about word embedding, an embedding is described that involves the summation of multiple words for each sentence and the combination of multiple sentences",3HQMxxEmiJn
20,It is also unclear how the final textual feature vector v (whose length depends on n) always meets the length of 300 described in section 4,3HQMxxEmiJn
21,Implementation details (--> The dimensionality of each word vector is 300).,3HQMxxEmiJn
22,"Is equation (3) (fusion of images and text) done once or multiple times? It would be easier for the reader, if the paper says that equation 3 is repeatedly used in the encoding path of the text",3HQMxxEmiJn
23,"Additionally, to improve clarity, you could add a figure reference into the text (for instance to line 280): this fusion block is displayed in green in Figure 3",3HQMxxEmiJn
24,"It is probably misleading if the text-encoder is called text-encoder, since both text and image are encoded.",3HQMxxEmiJn
25,"- ""It is determined by pathologists on Hematoxylin and Eosin (H&E) stained tissue specimens.""",3HQMxxEmiJn
26,"  Preposition ""on"" seems wrong / or unclear sentence.",3HQMxxEmiJn
27,"- ""The morphological information of intestinal glands, like architectural appearance and gland formation, is one of the primary features in clinical to inform prognosis and plan the treatment of individual patient.""",3HQMxxEmiJn
28,  in clinical seems wrong,3HQMxxEmiJn
29,"- ""Besides the initial gland segmentation, we offer cancer diagnosis and greatly improved segmentation results as full-scale assistance for pathologists according to the clinical routine.""",3HQMxxEmiJn
30,  as full-scale assistance seems wrong,3HQMxxEmiJn
31,"- ""Unannotated image data can be utilized effectively by the proposed deep adversarial network [32] for considerably better results.""",3HQMxxEmiJn
32,"  model for lesion Detection, tagging, and segmentation.",3HQMxxEmiJn
33,"→ model for lesion detection, ..",3HQMxxEmiJn
34,"- Line 289 ""Without thorough incorporation, text data contains no object localization could fail to guide the visual features on the pixel level.""",3HQMxxEmiJn
35,"- Line 311 ""from the text encoder, we perform two-dimensional softmax to the each channel of the feature maps""",3HQMxxEmiJn
36,"- Line 330 ""which validates our explanation that the clinical text data controls and emphasizes the glandular structure and morphology.""",3HQMxxEmiJn
37,I think the presented approach of improving segmentation results of glands in histopathological images by additionally taking clues from textual descriptions is a great idea and the proposed method is indeed improving compared to a baseline not using the additional text.,3HQMxxEmiJn
38,"The proposed method does, in fact, reach state-of-the art performance on two well known public datasets.",3HQMxxEmiJn
39,The paper is at times a bit confusing (e.g,3HQMxxEmiJn
40,"numberings in Figure 2 and caption is confusing me a lot, or the floats are at quite far away from the main text talking about them) and expects the reader to know quite a lot about the medical problem at hand (lots of expert lingo)",3HQMxxEmiJn
41,Also the technical parts are not leaving me with total clarity,3HQMxxEmiJn
42,If this was not a workshop paper I would value these issues significantly higher.,3HQMxxEmiJn
43,"Anyway, I liked the paper, it is absolutely hitting the BIC spirit, and I would love to hear a talk about this work.",3HQMxxEmiJn
44,"In this work, the authors present an extension to the Noise2Void denoising framework that incorporates convolution with a point spread function in order to better approximate the image formation process in microscopy.",BcAWplCftE
45,The premise of the work is very solid and represents a shift towards making denoising approaches specific to bioimaging data rather than just the direct translation of computer vision techniques originally formulated for e.g,BcAWplCftE
46,This is an important conceptual advancement in the field.,BcAWplCftE
47,"The performance of the new method is assessed in comparison to a selection of other denoising frameworks, and when measured by the PSNR metric is shown to out-perform comparable self-supervised methods",BcAWplCftE
