,Description,forum
0,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",iN5F7NK9ipZ
1,The authors propose to modify GANs by augmenting the generator outputs according to visual priors on their fashion dataset,iN5F7NK9ipZ
2,The results are visually more appealing.,iN5F7NK9ipZ
3,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,iN5F7NK9ipZ
4,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,iN5F7NK9ipZ
5,- Presentation needs a lot of work (see detailed comments);,iN5F7NK9ipZ
6,- Incremental contribution over existing works;,iN5F7NK9ipZ
7,[Overall rating] Paper rating: marginal accept,iN5F7NK9ipZ
8,[Justification] The idea is very interesting and applicable to the workshop,iN5F7NK9ipZ
9,Please take the time to revise the final version of your paper using the detailed comments.,iN5F7NK9ipZ
10,[Detailed comments] Additional comments regarding the paper (e.g,iN5F7NK9ipZ
11,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",iN5F7NK9ipZ
12,- Section headers should be revised to match paper conventions (i.e,iN5F7NK9ipZ
13,- Equations in section 2 either need more explanation or need to be replaced by references,iN5F7NK9ipZ
14,"- Sections 1 and 2 contain very broad and imprecise phrasing, e.g",iN5F7NK9ipZ
15,"""The notion of a virtual generator which produces images of desired properties has been introduced"", ""[...] transforms a generated image to the one with specified properties to other related problems.""",iN5F7NK9ipZ
16,- Figures should be close to their place in the text,iN5F7NK9ipZ
17,"- Vague phrasing: lines 48 ""them""",iN5F7NK9ipZ
18,- Line 227: where is this term added?,iN5F7NK9ipZ
19,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",iN5F7NK9ipZ
20, This paper describes a method based on GANs to generate fashion images with different textures.,iN5F7NK9ipZ
21,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,iN5F7NK9ipZ
22,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,iN5F7NK9ipZ
23, -	The structure of the paper is not clear.,iN5F7NK9ipZ
24,Authors do not mention anything about it,iN5F7NK9ipZ
25, -	Other topics where GANs are used similarly?,iN5F7NK9ipZ
26,[Justification of rating] Please explain how the strengths and weaknesses aforementioned were weighed in for the rating.,iN5F7NK9ipZ
27, Weaknesses from point 3 justify rating,iN5F7NK9ipZ
28,[Detailed comments] Additional comments regarding the paper (e.g,iN5F7NK9ipZ
29,"typos or other possible improvements you would like to see for the camera-ready version of the paper, if any.)",iN5F7NK9ipZ
30,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",GHaQlkoNM-p
31,"The authors combine a novel variant of CutMix augmentation, designed for long-tailed datasets, with multi-scale attention",GHaQlkoNM-p
32,They show their method outperforms a trivial baseline.,GHaQlkoNM-p
33,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,GHaQlkoNM-p
34,- Good submission as a technical report to the challenge.,GHaQlkoNM-p
35,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,GHaQlkoNM-p
36,- Not a good paper for the workshop paper track: marginal contribution; no hypotheses; no experiments other than final model vs,GHaQlkoNM-p
37,- Not related to visual inductive priors,GHaQlkoNM-p
38,[Overall rating] Paper rating: Clear reject,GHaQlkoNM-p
39,"[Summary] In 2-3 sentences, describe the key ideas, experiments, and their significance.",GHaQlkoNM-p
40,The paper proposes a multi-scale version of CutMix that boosts the occurance of scarce data classes and combines it with scale attention,GHaQlkoNM-p
41,Significant performance improvements are shown on the Minicity segmentation dataset.,GHaQlkoNM-p
42,[Strengths] What are the strengths of the paper? Clearly explain why these aspects of the paper are valuable.,GHaQlkoNM-p
43,[Weaknesses] What are the weaknesses of the paper? Clearly explain why these aspects of the paper are weak.,GHaQlkoNM-p
44,* The technical contribution is marginal and does not have a scientific motivation.,GHaQlkoNM-p
45,* The explantion of the method is not very clear:,GHaQlkoNM-p
46, * How are the classes divided into the buckets based on the label distribution?,GHaQlkoNM-p
